Name,Price,Category
Bordo Şalgam Suyu 1 l,"3,50 TL",Acısız Şalgam Suyu
Doğanay Şalgam Suyu Acısız 1000 ml,"3,95 TL",Acsz Şalgam Suyu
Kilikya Şalgam 1 lt Normal,"3,55 TL",Acısız Şalgam Suyu
Bordo Şalgam Suyu Acılı 1 l,"3,50 TL",Acsz Şalgam Suyu
Kilikya Şalgam 2 lt Acılı,"6,75 TL",Acısız Şalgam Suyu
Doğanay Şalgam Suyu Acılı 1000 ml,"3,95 TL",Acsz Şalgam Suyu
Kilikya Şalgam 1 lt Acılı,"3,55 TL",Acılı Şalgam Suyu
Doğanay Acılı Şalgam Cam 330 ml,"3,25 TL",Acl Şalgam Suyu
Doğanay Acılı Şalgam Suyu 1  lt Cam Şişe,"6,45 TL",Acılı Şalgam Suyu
"Didi Şeftali Buzlu Çay 2,5  lt","4,45 TL",Acl Şalgam Suyu
"Lipton Double Ice Tea Kayısı Ve Şeftali Aromalı İçecek Pet 1,5 Lt","4,50 TL",Acılı Şalgam Suyu
"Lipton Ice Tea Şeftali Aromalı İçecek Pet 1,5Lt","4,50 TL",Acl Şalgam Suyu
"Lipton Ice Tea Yeşil Çaylı Limon Aromalı İçecek Pet 1,5 Lt","4,50 TL",Acılı Şalgam Suyu
Didi Soğuk Çay Şeftalili 500 ml,"3,15 TL",Acl Şalgam Suyu
Didi Soğuk Çay Şeftali Kutu 330 ml,"2,25 TL",Acılı Şalgam Suyu
"Didi Şeftali Pet 1,5  lt","3,95 TL",Acl Şalgam Suyu
Fusetea Şeftali Cam 250 ml,"2,50 TL",Acılı Şalgam Suyu
"Fusetea Şeftali Pet Şişe 1,5 lt","4,50 TL",Acl Şalgam Suyu
Lipton Ice Tea Light Şeftali Aromalı İçecek Kutu 330 Ml,"2,45 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Light Şeftali Aromalı İçecek Kutu  6X330 Ml,"13,95 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Şeftali Aromalı İçecek Kutu 330 Ml,"2,45 TL",Şeftalili Buzlu Çay
Didi Şeftali 1  lt Pet,"3,50 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Şeftali Aromalı İçecek Pet 1 Lt,"4,40 TL",Şeftalili Buzlu Çay
Fusetea Mango 6x33 cl,"12,50 TL",Şeftalili Buzlu Çay
