Name,Price,Category
Carrefour Ağda Bezi,"2,45 TL",Ağda Makinesi ve Malzemeleri
Carrefour Ilık Ağda 250 g,"4,60 TL",Ağda Makinesi ve Malzemeleri
BIC Pure 3 Pink Lady Tıraş Bıçağı 4'lü,"7,95 TL",Ağda
Derby Lady 2 Bıçaklı 5'li Poşet,"3,57 TL",Ağda
BIC Miss Soleil Tıraş Bıçağı 3+1,"13,17 TL",Tek Kullanımlık Jilet
BIC Twin Lady Tıraş Bıçağı Poşet 5'li,"4,74 TL",Tek Kullanmlk Jilet
Gillette Simply Venus 3 Tıraş Makinesi+3 Yedek Tıraş Bıçağı,"13,14 TL",Tek Kullanımlık Jilet
Gillette Venüs Breeze Kadın Tıraş Makinesi + 2 Adet Yedek Başlık,"29,94 TL",Tek Kullanmlk Jilet
Gillette Venus Breeze Kadın Tıraş Bıçağı Yedek 4'lü,"42,54 TL",Tek Kullanımlık Jilet
Gillette Venus Yedek Kadın Tıraş Bıçağı 4'lü,"34,14 TL",Tek Kullanmlk Jilet
Gillette Venus Pembe Kadın Tıraş Makinesi Yedekli,"25,14 TL",Tek Kullanımlık Jilet
Gillette Simply Venus 3 Kullan At Kadın Tıraş Bıçağı 4'lü,"14,37 TL",Tek Kullanmlk Jilet
Gillette Simply Venus Kullan At Kadın Tıraş Bıçağı 4'lü,"5,37 TL",Kadın Tıraş Makinesi ve Bıçakları
Gillette Venus Riviera Kullan At Kadın Tıraş Bıçağı 2'li,"15,54 TL",Kadn Traş Makinesi ve Bçaklar
Gillette Venus Embrace Snap Tıraş Makinesi Seyahat Boyu,"23,94 TL",Kadın Tıraş Makinesi ve Bıçakları
Gillette Venus Swirl Yedek Kadın Tıraş Bıçağı 2'li,"26,34 TL",Kadn Traş Makinesi ve Bçaklar
Gillette Venus Swirl Kadın Tıraş Makinesi Yedekli,"35,34 TL",Kadın Tıraş Makinesi ve Bıçakları
Braun Face SE80-M Yüz Yedek Başlık 4'lü,"99,90 TL",Kadn Traş Makinesi ve Bçaklar
Gillette Venus Satin Care Jel,"13,14 TL",Kadın Tıraş Makinesi ve Bıçakları
Sesu Duşta Tüy Dökücü Krem Hassas Cilt 150 ml,"17,34 TL",Kadn Traş Makinesi ve Bçaklar
Johnson's Baby Vazelin Pembe 100 g,"9,68 TL",Kadın Tıraş Makinesi ve Bıçakları
Johnson's Bebek Vazelini Parfümsüz 100Ml,"10,43 TL",Kadn Traş Makinesi ve Bçaklar
Dalin Vazelin 100 ml,"12,75 TL",Kadın Tıraş Makinesi ve Bıçakları
Neutrogena Vücut Yağı Kuru Ciltler İçin 200 ml,"47,90 TL",Kadn Traş Makinesi ve Bçaklar
Uni Care Vazelin Pure Vazo 170 ml,"22,50 TL","Yağ, Vazelin"
Nivea Besleyici Vücut Sütü (Yoğun Nemlendirici Bakım) 400 ml,"49,90 TL",Yağ Vazelin
Neutrogena Vücut Losyonu 400 ml,"41,90 TL",Vücut Sütü
Nivea Besleyici Vücut Sütü (Yoğun Nemlendirici Bakım) 250 ml,"35,90 TL",Vücut Sütü
