Name,Price,Category
Coca Cola Şekersiz Şişe 6x250 ml,"12,75 TL",Diyet Kola
Coca Cola Light Şişe 6x250 ml,"12,75 TL",Diyet Kola
Pepsi Light Cola Kutu 250 Ml,"2,40 TL",Diyet Kola
Pepsi Max 4*250 ml Kutu,"7,95 TL",Diyet Kola
Coca Cola Şekersiz 4x1 l,"14,00 TL",Diyet Kola
"Coca Cola Light 1,5 l","4,25 TL",Diyet Kola
Pepsi Max Pet 4*1 L,"11,95 TL",Diyet Kola
Coca Cola Şekersiz 1 l,"3,75 TL",Diyet Kola
Coca Cola Light 250 ml Kutu,"2,39 TL",Diyet Kola
Coca Cola Light 4x1 l,"14,00 TL",Diyet Kola
Coca Cola Light 250 ml Şişe,"2,75 TL",Diyet Kola
"Coca Cola Şekersiz 2,5 l","4,95 TL",Diyet Kola
Coca Cola Light 1 l,"3,50 TL",Diyet Kola
"Coca Cola Şekersiz 1,75 l","4,25 TL",Diyet Kola
Coca Cola Şekersiz Kutu 6x250 ml,"11,95 TL",Diyet Kola
Coca Cola Light 6x250 ml Kutu,"11,95 TL",Diyet Kola
Pepsi Cola Max Pet 1 Lt,"3,60 TL",Diyet Kola
Pepsi Black 250 ml Kutu,"2,40 TL",Diyet Kola
Coca Cola Şekersiz 250 ml,"2,39 TL",Diyet Kola
Coca Cola Şekersiz 450 ml,"2,85 TL",Diyet Kola
Coca Cola 6x250 ml Şişe,"12,75 TL",Diyet Kola
Cola-Cola 250 ml,"2,75 TL",Diyet Kola
Pepsi Cola  4X250 Ml,"7,95 TL",Diyet Kola
Pepsi Cola Pet 450 Ml,"2,75 TL",Diyet Kola
Coca Cola 250 ml,"2,39 TL",1 litreden küçük Kola
Coca Cola 450 ml,"2,85 TL",1 litreden küçük Kola
Pepsi Cola Kutu 250 Ml,"2,40 TL",1 litreden küçük Kola
Coca Cola 6x250 ml Kutu,"11,95 TL",1 litreden küçük Kola
Pepsi Twist 250 ml Kutu,"2,40 TL",1 litreden küçük Kola
Pepsi Twist 4x250 ml Kutu,"7,95 TL",1 litreden küçük Kola
Pepsi 6*200 Ml Şişe,"10,45 TL",1 litreden küçük Kola
"Pepsi Cola Pet 2,5 Lt","5,25 TL",1 litreden küçük Kola
Pepsi Cola Pet 1 Lt,"3,70 TL",1 litreden küçük Kola
Coca Cola 4x1 l,"14,40 TL",1 litreden küçük Kola
"Coca Cola 1,5 l","4,25 TL",1 litreden küçük Kola
Pepsi Cola Pet 1.5 Lt,"3,95 TL",1 litreden küçük Kola
Pepsi Cola Multipack Pet 4*1 Lt,"11,75 TL",1 litreden küçük Kola
