Name,Price,Category
Carrefour Islak Mendil 56'lı,"3,25 TL",Islak Havlu
Prima Bebek Bezi Premium Care 1 Beden Yenidoğan Ekonomik Paket 92 Adet,"69,52 TL",Islak Havlu
Prima Bebek Bezi Premium Care 0 Beden Prematüre Tekli Paket 30 Adet,"23,92 TL",Yenidoğan
Prima Bebek Bezi Aktif Bebek 7 Beden XX Large Ekonomik Paket 23 Adet,"42,00 TL",Yenidoğan
Sleepy Sensitive Bebek Bezi XX Large 7 Numara 16'lı,"29,95 TL",Yenidoğan
Prima Aktif Bebek Bezi Mega Fırsat Paketi 7 Numara 48'li,"107,90 TL",Yenidoğan
Prima Bebek Bezi Aktif Bebek 7 Beden XX Large Fırsat Paketi 34 Adet,"64,90 TL",7 Beden 
Prima Bebek Bezi Aktif Bebek 6 Beden Ekstra Large Ekonomik Paket 26 Adet,"42,00 TL",7 Beden 
Molfix Ekopaket 6 Beden 26'lı Ekstra Large,"39,90 TL",7 Beden 
Molfix Fırsat Paket 6 Beden 39'lu Ekstra Large,"49,95 TL",7 Beden 
Prima Aktif Bebek Bezi Mega Fırsat Paketi 6 Beden 56'lı,"107,90 TL",7 Beden 
Sleepy Sensitive X Large 6 Beden 20'li,"29,95 TL",7 Beden 
Prima Bebek Bezi Aktif Bebek 6 Beden Ekstra Large Fırsat Paketi 40 Adet,"64,90 TL",7 Beden 
Molfix Süp.Fırsat Paketi 6 Beden 50'li Ekstra Large,"69,95 TL",7 Beden 
Prima Bebek Bezi Aktif Bebek 5 Beden Junior Ekonomik Paket 29 Adet,"42,00 TL",6 Beden
Prima Aktif Bebek Bezi Mega Fırsat Paketi 5 Beden 62'li,"107,90 TL",6 Beden
Prima Bebek Bezi Aktif Bebek 5 Beden Junior Fırsat Paketi 46 Adet,"64,90 TL",6 Beden
Molfix Fırsat Paketi 5 Beden 48'li Junior,"49,95 TL",6 Beden
Molfix Eko Paket 5 Beden 30Lu Junior,"39,90 TL",6 Beden
Molfix Fırsat Paket5+Beden 44'lü Junior Plus,"49,95 TL",6 Beden
