Name,Price,Category
Carrefour Toz Şeker 5000 g,"20,75 TL",Klasik Toz Şeker
Carrefour Toz Şeker 5  kg,"20,75 TL",Klasik Toz Şeker
Carrefour Toz Şeker 3  kg,"14,95 TL",Klasik Toz Şeker
Carrefour Toz Şeker 3  kg,"14,95 TL",Klasik Toz Şeker
Carrefour Küp Şeker 750 g,"4,25 TL",Klasik Toz Şeker
Carrefour Küp Şeker 750 g,"4,25 TL",Klasik Toz Şeker
Carrefour Küp Şeker 1  kg,"4,95 TL",Klasik Toz Şeker
Carrefour Küp Şeker 1000 g,"4,95 TL",Klasik Toz Şeker
Carrefour Acı Kırmızı Biber 100 g,"9,50 TL",Klasik Küp Şeker
Carrefour Sumak 80 g,"4,75 TL",Klasik Küp Şeker
Carrefour Pul Kırmızı Biber 70 g,"3,90 TL",Klasik Küp Şeker
Carrefour Acı Kırmızı Biber 60 g,"3,90 TL",Klasik Küp Şeker
Carrefour Pul Kırmızı Biber Pet 100 g,"9,90 TL",Klasik Küp Şeker
Carrefour İsot 70 g,"3,95 TL",Klasik Küp Şeker
Carrefour Karabiber Toz 90 g,"10,90 TL",Klasik Küp Şeker
Carrefour Karabiber Tane 80 g,"9,90 TL",Klasik Küp Şeker
Carrefour Karabiber Toz Pet 120 g,"15,90 TL",Kırmızı biber (paket)
Carrefour Kimyon 90 g,"4,76 TL",Krmz biber paket
Carrefour Yeni Bahar 70 g,"5,56 TL",Kırmızı biber (paket)
Carrefour Tarçın Toz 90 g,"6,32 TL",Krmz biber paket
Carrefour SUSAM  90 g,"4,72 TL",Kırmızı biber (paket)
Carrefour Nane 70 g,"4,72 TL",Krmz biber paket
Carrefour Öğütülmüş Tarçın Pet 105 g,"7,92 TL",Kırmızı biber (paket)
Carrefour Çörek Otu 70 g,"3,00 TL",Krmz biber paket
Carrefour Limon Tuzu 85 g,"3,96 TL",Diğer Baharatlar (paket)
Carrefour Köri 70 g,"4,36 TL",Diğer Baharatlar paket
