Name,Price,Category
Carrefour Mısır Yağı 2 lt,"16,75 TL",Mısır Özü Yağı
Carrefour Ayçiçek Yağı Pet 5 lt,"33,90 TL",Msr Özü Yağ
Carrefour Ayçiçek Yağı 1 lt,"8,75 TL",Ayçiçek Yağı
Carrefour Ayçiçek Yağı 5 lt,"34,95 TL",Ayçiçek Yağ
Carrefour Ayçiçek Yağı 5 lt,"34,95 TL",Ayçiçek Yağı
Carrefour Ayçiçek Yağı 2 lt,"16,45 TL",Ayçiçek Yağ
Carrefour Discount Ayçiçek Yağı 18 lt,"119,90 TL",Ayçiçek Yağı
Carrefour Soya Sosu 250 ml,"7,45 TL",Ayçiçek Yağ
Carrefour Limon Sosu 1 l,"2,95 TL",Ayçiçek Yağı
Carrefour Üzüm Sirkesi 1 l,"3,45 TL",Ayçiçek Yağ
Carrefour Elma Sirkesi 1 l,"3,45 TL",Ayçiçek Yağı
Carrefour Nar Ekşili Sos 250 ml,"3,95 TL",Ayçiçek Yağ
Carrefour Ton Balığı Konservesi 2x160 g,"14,90 TL",Ayçiçek Yağı
"Carrefour Osmancık Pirinç 2,5  kg","18,65 TL",Ayçiçek Yağ
Carrefour Osmancık Pirinç 5  kg,"36,90 TL",Çin Sosları
"Carrefour Pilavlık Pirinç 2,5  kg","12,95 TL",Çin Soslar
Carrefour Pilavlık Pirinç 1  kg,"5,45 TL",Sirkeler
Carrefour Kırık Pirinç 1  kg,"3,75 TL",Sirkeler
"Carrefour gönen Baldo Pirinç 2,5  kg","19,75 TL",Sirkeler
Carrefour gönen Baldo Pirinç 1  kg,"8,25 TL",Sirkeler
Carrefour Tarhana 500 g,"8,95 TL",Sirkeler
Carrefour Toz Şeker 5000 g,"20,75 TL",Sirkeler
Carrefour Toz Şeker 5  kg,"20,75 TL",Nar Ekşisi ve Diğer Soslar
Carrefour Toz Şeker 3  kg,"14,95 TL",Nar Ekşisi ve Diğer Soslar
Carrefour Toz Şeker 3  kg,"14,95 TL",Klasik Toz Şeker
Carrefour Küp Şeker 750 g,"4,25 TL",Klasik Toz Şeker
Carrefour Küp Şeker 750 g,"4,25 TL",Klasik Küp Şeker
Carrefour Küp Şeker 1  kg,"4,95 TL",Klasik Küp Şeker
Carrefour Küp Şeker 1000 g,"4,95 TL",Klasik Küp Şeker
Carrefour Acı Kırmızı Biber 100 g,"9,50 TL",Klasik Küp Şeker
Carrefour Sumak 80 g,"4,75 TL",Klasik Küp Şeker
Carrefour Pul Kırmızı Biber 70 g,"3,90 TL",Klasik Küp Şeker
Carrefour Acı Kırmızı Biber 60 g,"3,90 TL",Klasik Küp Şeker
Carrefour Pul Kırmızı Biber Pet 100 g,"9,90 TL",Klasik Küp Şeker
Carrefour İsot 70 g,"3,95 TL",Kırmızı biber (paket)
Carrefour Karabiber Toz 90 g,"10,90 TL",Krmz biber paket
Carrefour Karabiber Tane 80 g,"9,90 TL",Kırmızı biber (paket)
Carrefour Karabiber Toz Pet 120 g,"15,90 TL",Krmz biber paket
Carrefour Kimyon 90 g,"4,76 TL",Kırmızı biber (paket)
Carrefour Yeni Bahar 70 g,"5,56 TL",Krmz biber paket
Carrefour Tarçın Toz 90 g,"6,32 TL",Kırmızı biber (paket)
Carrefour SUSAM  90 g,"4,72 TL",Krmz biber paket
Carrefour Nane 70 g,"4,72 TL",Kırmızı biber (paket)
Carrefour Öğütülmüş Tarçın Pet 105 g,"7,92 TL",Krmz biber paket
Carrefour Çörek Otu 70 g,"3,00 TL",Kırmızı biber (paket)
Carrefour Limon Tuzu 85 g,"3,96 TL",Krmz biber paket
Carrefour Köri 70 g,"4,36 TL",Karabiber (paket)
Carrefour Çam Fıstık 23 g,"13,52 TL",Karabiber paket
Carrefour Kekik 25 g,"2,75 TL",Diğer Baharatlar (paket)
Carrefour Hindistan Cevizi 50 g,"4,25 TL",Diğer Baharatlar paket
Carrefour Nane 30 g,"2,75 TL",Diğer Baharatlar (paket)
Carrefour Kekik Pet 45 g,"6,90 TL",Diğer Baharatlar paket
Eti gong 64 g,"1,60 TL",Diğer Baharatlar (paket)
Rice Up Ayçekirdekli Pirinç Patlağı 120 g,"7,90 TL",Diğer Baharatlar paket
Rice Up 7 Tohumlu Pirinç Patlağı 120 g,"7,90 TL",Diğer Baharatlar (paket)
Gong Bal ve Hardal Çeşnili Mısır ve Pirinç Patlağı,"2,50 TL",Diğer Baharatlar paket
Ülker Krispi Acılı Çubuk Kraker 54 g,"1,00 TL",Çeşitli Krakerler
Eti Pizza Kraker 76 g,"1,25 TL",Çeşitli Krakerler
Eti Crax Patlayan Peynirli Soğanlı 50 g,"1,40 TL",Çeşitli Krakerler
Eti Crax Patlayan Acı Baharatlı 50 g,"1,40 TL",Çeşitli Krakerler
Ülker Flipz Atıştırmalık Parti Mix 65 g,"2,25 TL",Çeşitli Krakerler
Ülker Taç Kraker 76 g,"1,50 TL",Çeşitli Krakerler
Ülker Krispi Tırtıklı Kraker Peynir ve Soğan 45 g,"1,25 TL",Çeşitli Krakerler
Ülker Krispi Tırtıklı Kraker Baharatlı 45 g,"1,25 TL",Çeşitli Krakerler
Ülker Krispi Tırtıklı Kraker Acılı 45 g,"1,25 TL",Çeşitli Krakerler
Gong Peynir ve Acılı Mısır ve Pirinç Patlağı,"2,50 TL",Çeşitli Krakerler
Greta Zeytin 120 g,"4,00 TL",Çeşitli Krakerler
Greta Susamlı 120 g,"4,00 TL",Çeşitli Krakerler
Greta Domates 120 g,"4,00 TL",Çeşitli Krakerler
Gran Pavesi Pomodoro 280 g,"15,20 TL",Çeşitli Krakerler
Ülker Hanımeller Tuzlu Karma Poşet Bisküvi 170 g,"3,25 TL",Çeşitli Krakerler
Gran Pavesi Zeytinli Kraker 280 g,"15,20 TL",Çeşitli Krakerler
Ülker Susamlı Çubuk Kraker 80 g,"1,75 TL",Susamlı Çubuk Krakerler
Eti Susamlı Çubuk 140 g,"2,95 TL",Susaml Çubuk Krakerler
Ülker Susamlı Çubuk Kraker 45 g,"1,00 TL",Susamlı Çubuk Krakerler
Torku Çubuk Kraker 136 g,"1,00 TL",Susaml Çubuk Krakerler
Eti Crax Çubuk Kraker 36 g,"0,50 TL",Susamlı Çubuk Krakerler
Eti Crax Çubuk Kraker 95 g,"1,00 TL",Susaml Çubuk Krakerler
Ülker Çubuk Kraker Sade 40 g,"0,50 TL",Sade / Tuzlu Çubuk Krakerler
Eti Crax Acılı 80 g,"1,50 TL",Sade  Tuzlu Çubuk Krakerler
Eti Crax Baharatlı 80 g,"1,50 TL",Sade / Tuzlu Çubuk Krakerler
Ülker Krispi Peynirli Çubuk Kraker 54 g,"1,00 TL",Sade  Tuzlu Çubuk Krakerler
Ülker Krispi Baharatlı Çubuk Kraker 54 g,"1,00 TL",Sade / Tuzlu Çubuk Krakerler
Eti Crax Peynirli 80 g,"1,50 TL",Sade  Tuzlu Çubuk Krakerler
Torku Tatrak Peynirli Kraker 100 g,"1,50 TL",Sade / Tuzlu Çubuk Krakerler
Torku Tatrak Peynirli Baharatlı Kraker 100 g,"1,50 TL",Sade  Tuzlu Çubuk Krakerler
Ülker Çiziviç Peynirli Sandviç Kraker 90 g,"1,75 TL",Peynirli Çubuk Krakerler
Ülker Çizi Kraker Bisküvi 63 g,"0,95 TL",Peynirli Çubuk Krakerler
Ülker Çiziviç Peynirli Sandviç Kraker 3x82 g,"4,25 TL",Peynirli Çubuk Krakerler
Eti Benim O Lokmalık 3'lü 198 g,"4,95 TL",Peynirli Çubuk Krakerler
Ülker Çokoprens Bisküvi 30 g,"0,60 TL",Peynirli Çubuk Krakerler
Ülker Halley Karadut Dolgulu Bisküvi 74 g,"2,00 TL",Peynirli Çubuk Krakerler
Ülker Biskrem Büyük Boy Rulo Bisküvi %50 Fazla,"2,25 TL",Peynirli Çubuk Krakerler
Ülker Halley 8x30 g,"4,95 TL",Peynirli Çubuk Krakerler
Ülker Cocostar Atıştırmalık Bisküvi 7x22 g,"3,95 TL",Peynirli Çubuk Krakerler
Ülker Kremalı Sandviç Bisküvi 4x76 g,"3,90 TL",Peynirli Çubuk Krakerler
Eti Benimo Kırmızı Meyveler 72 g,"2,00 TL",Sandviç Bisküviler
Oreo Double Stuff 170 g,"11,50 TL",Sandviç Bisküviler
Eti Negro 110 g,"2,00 TL",Sandviç Bisküviler
Oreo Bisküvi Choco 228 g,"9,95 TL",Sandviç Bisküviler
Ülker Probis Sandviç Bisküvi 10x28 g,"5,25 TL",Sandviç Bisküviler
Ülker Çokoprens Atıştırmalık Bisküvi 75 g,"1,75 TL",Sandviç Bisküviler
Ülker Probis Atıştırmalık Sandviç Bisküvi 82 g,"1,75 TL",Sandviç Bisküviler
Ülker Biskrem Kakaolu Bisküvi 100 g,"1,75 TL",Sandviç Bisküviler
Luppo Sandviç Kek Kakaolu 184 G,"4,80 TL",Sandviç Bisküviler
Ülker Canpare Çikolatalı Kremalı Bisküvi 81 g,"1,25 TL",Sandviç Bisküviler
Ülker İkram Çikolatalı Kremalı Bisküvi 84 g,"1,40 TL",Sandviç Bisküviler
Ülker Halley Mini Granüllü Bisküvi 66 g x 24,"1,75 TL",Sandviç Bisküviler
Ülker Halley Mini Granüllü Bisküvi 3 x 66 g,"5,00 TL",Sandviç Bisküviler
Ülker Hanımeller Fındıklı Poşet Bisküvi 180 g,"3,25 TL",Sandviç Bisküviler
Ülker Çokoprens Bisküvi 300 g,"4,95 TL",Sandviç Bisküviler
Ülker İkram Kremalı Bisküvi Fındıklı 84 g,"1,50 TL",Sandviç Bisküviler
Ülker Halley Çikolata Kaplamalı Bisküvi 30 g,"0,75 TL",Sandviç Bisküviler
Torku Favorimo Muz Krem Bisküvi 76 g,"1,00 TL",Sandviç Bisküviler
Ülker Biskrem Kakaolu Bisküvi Büyük Boy Poşet 200 g,"3,25 TL",Sandviç Bisküviler
Eti Tutku 210g,"3,65 TL",Sandviç Bisküviler
Ülker Biskrem Extra Kakao Kremalı Bisküvi 230 g,"4,50 TL",Sandviç Bisküviler
Torku Favorimo Çikolata Kremalı Bisküvi 76 g,"1,00 TL",Sandviç Bisküviler
Ülker Rondo Çilekli Kremalı Bisküvi 76 g,"1,00 TL",Sandviç Bisküviler
Ülker Kremalı Sandviç Bisküvi 8x76 g,"7,75 TL",Sandviç Bisküviler
Ülker Rondo Çilekli Kremalı Bisküvi 8x76 g,"7,75 TL",Sandviç Bisküviler
Ülker Cocostar Atıştırtırmalık 77 g,"1,50 TL",Sandviç Bisküviler
"Ülker Halley Karadut Dolgulu Bisküvi 7 x 33,7 g","4,95 TL",Sandviç Bisküviler
Ülker Kremalı Sandviç Bisküvi 76 g,"1,00 TL",Sandviç Bisküviler
Oreo Bisküvi Choc 38 g,"2,00 TL",Sandviç Bisküviler
Eti Negro 3'lü 330 G,"5,70 TL",Sandviç Bisküviler
Ülker Rondo Kremalı Bisk. Muzlu 76 g,"1,00 TL",Sandviç Bisküviler
Milka Jaffa Ahududu Bisküvi 147 g,"9,95 TL",Sandviç Bisküviler
Milka Jaffa Portakallı Bisküvi 147 g,"9,95 TL",Sandviç Bisküviler
Oreo Bisküvi 95 g,"3,95 TL",Sandviç Bisküviler
Oreo Bisküvi Multipack 228 g,"9,95 TL",Sandviç Bisküviler
Oreo Bisküvi 38 g,"2,00 TL",Sandviç Bisküviler
Ülker Biskrem Vişneli Çikolatalı Bisküvi 90 g,"1,75 TL",Sandviç Bisküviler
Ülker Çokoprens Bisküvi 20 x 30 g,"9,60 TL",Sandviç Bisküviler
Ülker Pötibör Bisküvi Çifte Kavrulmuş 175 g,"2,25 TL",Sandviç Bisküviler
Torku Petibör Bisküvi 700 g,"7,25 TL",Sandviç Bisküviler
Ülker Pötibör Bisküvi 4x200 g,"8,25 TL",Sandviç Bisküviler
Ülker Pötibör Bisküvi Çifte Kavrulmuş 450 g,"5,25 TL",Sandviç Bisküviler
Ülker Pötibör Bisküvi 175 g,"2,25 TL",Sandviç Bisküviler
Eti Kakaolu 125 g,"2,00 TL",Sandviç Bisküviler
Eti Petit Beurre 400 g,"4,50 TL",Sandviç Bisküviler
Eti Kakaolu Petit Beurre 370 g,"4,25 TL",Sandviç Bisküviler
Eti Petit Beurre 200 g,"2,25 TL",Sandviç Bisküviler
Eti Petit Beurre 1  kg,"10,00 TL",Sandviç Bisküviler
Ülker Pötibör Bisküvi 450 g,"5,25 TL",Pötibör
Ülker Pötibör Bisküvi Kakaolu 450 g,"5,25 TL",Pötibör
Eti Finger 900 g,"11,00 TL",Pötibör
Eti Etibör Petit Beurre 400 g,"4,50 TL",Pötibör
Eti Burçak Kurabiye Yulaflı Susamlı 198 g,"3,75 TL",Pötibör
Ülker Hanımeller Kurabiyem 180 g,"4,75 TL",Pötibör
Eti Burçak Kakaolu yulaflı 82 g,"1,75 TL",Pötibör
Mcvitie'S İnce Tam Buğdaylı Bitter Çikolatalı Bisküvi 93 G,"4,50 TL",Pötibör
Ülker Saklıköy Sütlü Kremalı Bisküvi 100 g,"1,75 TL",Kurabiye Bisküviler
Eti Sultani 123 g,"1,75 TL",Kurabiye Bisküviler
Ülker Saklıköy Yulaflı Bisküvi Mp 4x77 g,"4,50 TL",Kurabiye Bisküviler
Eti Burçak Sütlü Kremalı 100 g,"1,75 TL",Kurabiye Bisküviler
Eti Burçak 3'lü 420 g,"3,95 TL",Hububatlı Bisküviler
Eti Burçak 140 g,"1,75 TL",Hububatl Bisküviler
Eti Yulaflı 125 g,"1,75 TL",Hububatlı Bisküviler
Burçak Sütlü Kremalı 300 g,"4,95 TL",Hububatl Bisküviler
Dukan Bisküvi Tarçın Karamelli 140 g,"8,95 TL",Hububatlı Bisküviler
Dukan Bisküvi Peynirli 132 g,"8,95 TL",Hububatl Bisküviler
Ülker Saklıköy Çikolatalı Ve Sütlü Kremalı Bisküvi 100 g,"2,25 TL",Hububatlı Bisküviler
