Name,Price,Category
"Carrefour Osmancık Pirinç 2,5  kg","18,65 TL",Pilavlık Pirinç
Carrefour Osmancık Pirinç 5  kg,"36,90 TL",Pilavlk Pirinç
"Carrefour Pilavlık Pirinç 2,5  kg","12,95 TL",Pilavlık Pirinç
Carrefour Pilavlık Pirinç 1  kg,"5,45 TL",Pilavlk Pirinç
Carrefour Kırık Pirinç 1  kg,"3,75 TL",Pilavlık Pirinç
"Carrefour gönen Baldo Pirinç 2,5  kg","19,75 TL",Pilavlk Pirinç
Carrefour gönen Baldo Pirinç 1  kg,"8,25 TL",Pilavlık Pirinç
"Tarım Kredi Osmancık Pirinç 2,5 kg","21,90 TL",Pilavlk Pirinç
Reis Osmancık Pilavlık Pirinç 1 kg,"11,90 TL",Kırık Pirinç
Reis Osmancık Pirinç 5 kg,"58,75 TL",Krk Pirinç
Tarım Kredi Osmancık Pirinç 1 kg,"9,95 TL",Baldo Pirinç
Zeki Baharım Osmancık Pirinç 5 kg,"35,90 TL",Baldo Pirinç
"Reis Osmancık Pirinç 2,5 kg","31,95 TL",Baldo Pirinç
"Zeki Osmancık Pirinç 2,5 kg","23,90 TL",Baldo Pirinç
Zeki Osmancık Pirinç 1 kg,"10,90 TL",Pilavlık Pirinç
Reis Kırık Pirinç 1 kg,"6,45 TL",Pilavlk Pirinç
"Zeki Çorbalık Kırık Pirinç 2,5 kg","9,90 TL",Pilavlık Pirinç
Reis Kepekli Diyet Pirinç 1 kg,"17,45 TL",Pilavlk Pirinç
Reis Jasmine Pirinç 1 kg,"23,95 TL",Pilavlık Pirinç
Reis Basmati Pirinç 1 kg,"23,95 TL",Pilavlk Pirinç
"Zeki Gönen Baldo Pirinç 2,5 kg","22,90 TL",Pilavlık Pirinç
"Reis Gönen Baldo Pirinç 2,5 k","38,90 TL",Pilavlk Pirinç
Reis Gönen Baldo Pirinç 1 kg,"16,90 TL",Pilavlık Pirinç
Reis Trakya Baldo Pirinç 1 kg,"16,50 TL",Pilavlk Pirinç
"Reis Trakya Baldo 2,5 kg","36,95 TL",Baldo Pirinç
Zeki Gönen Baldo Pirinç 1 kg,"12,90 TL",Baldo Pirinç
Osmancık Pirinç kg,"8,90 TL",Baldo Pirinç
Tarım Kredi Yeşil Mercimek 1 kg,"8,95 TL",Baldo Pirinç
Reis Yeşil Mercimek 1 kg,"11,90 TL",Açık Kiloluk Pirinç
Carrefour Yeşil Mercimek 1 kg,"5,75 TL",Açk Kiloluk Pirinç
Tarım Kredi Sarı Mercimek 1 kg,"14,75 TL",Yeşil Mercimek
Reis Sarı Mercimek 1 kg,"18,75 TL",Yeşil Mercimek
"Tarım Kredi Kırmızı Mercimek 2,5 kg","19,90 TL",Yeşil Mercimek
Tarım Kredi Birlik Kırmızı Mercimek 1 kg,"8,25 TL",Yeşil Mercimek
Reis Kırmızı Mercimek 1 kg,"9,95 TL",Yeşil Mercimek
Reis Kırmızı Mercimek 2.5 kg,"22,95 TL",Yeşil Mercimek
Carrefour Kırmızı Mercimek 1 kg,"4,95 TL",Sarı Mercimek
"Carrefour Kırmızı Mercimek 2,5 kg","12,25 TL",Sar Mercimek
Filiz Makarna Arpa Şehriye 500 g,"2,49 TL",Sarı Mercimek
Filiz Yıldız Şehriye 500 g,"2,49 TL",Sar Mercimek
Filiz Makarna Tel Şehriye 500 g,"2,49 TL",Kırmızı Mercimek
Filiz Kuskus 500 g,"2,49 TL",Krmz Mercimek
Filiz Erişte 500 g,"2,49 TL",Kırmızı Mercimek
Pastavilla Arpa Şehriye 500 g,"3,40 TL",Krmz Mercimek
Arbella Tel Şehriye Makarna 500 g,"2,70 TL",Kırmızı Mercimek
Pastavilla Tel Şehriye 500 g,"3,40 TL",Krmz Mercimek
Ankara Arpa Şehriye Makarna 500 g,"2,75 TL",Kırmızı Mercimek
Arbella Erişte 500 g,"2,70 TL",Krmz Mercimek
Arbella Arpa Şehriye 500 g,"2,70 TL",Yöresel Makarna
Pastavilla Erişte 500 g,"3,40 TL",Yöresel Makarna
Ankara Yıldız Şehriye Makarna 500 g,"2,75 TL",Yöresel Makarna
Veronelli Arpa 500 g,"3,50 TL",Yöresel Makarna
