Name,Price,Category
Carrefour Hindi Füme Eti 130 g,"9,25 TL","Salam, Jambon ve Füme"
Carrefour Dana Fıstıklı Salam 130 g,"9,90 TL",Salam Jambon ve Füme
Carrefour Dana Macar Salam 130 g,"9,90 TL",Macar Salamı (dana)
Carrefour Kangal Isıl İşlem görmüş Sucuk 250 g,"19,90 TL",Macar Salam dana
Carrefour Hindi Kokteyl Sosis 300 g,"8,25 TL",Macar Salamı (dana)
Carrefour Jambon 130G,"9,90 TL",Macar Salam dana
Aytaç Keyifli Et Lokmaları Kekikli 25 g,"11,50 TL",Kangal Sucuk
Aytaç Keyifli Et Lokmaları Karabiberli 25 g,"11,50 TL",Kangal Sucuk
Aytaç Keyifli Et Lokmaları Sade 25 g,"11,50 TL",Hindi Sosis
Apikoğlu Kurutulmuş Füme Et 100 g,"22,90 TL",Hindi Sosis
Maret Pratik Hindi Füme 60 g,"4,45 TL",Dana Jambon
Namet Dana Kaburga Füme Et 130 g,"22,90 TL",Dana Jambon
Namet Piliç Füme 150 g,"6,90 TL","Salam, Jambon ve Füme"
Polonez Füme Et 100 gr,"15,90 TL",Salam Jambon ve Füme
Namet 7/24 Hindi Füme 60 g,"2,25 TL","Salam, Jambon ve Füme"
Polonez Füme Piliç 200 g,"11,90 TL",Salam Jambon ve Füme
Banvit Hindi Füme 60 g,"4,50 TL","Salam, Jambon ve Füme"
Polonez Hindi Füme Eti 60 g,"6,25 TL",Salam Jambon ve Füme
Namet Hindi Füme Paket 200 g,"8,50 TL","Salam, Jambon ve Füme"
Gurme Seçme Pastırma,"99,90 TL",Salam Jambon ve Füme
Apikoğlu Parça Pastırma 80 g,"11,90 TL","Salam, Jambon ve Füme"
Polonez Çemensiz Pastırma 50 g,"10,90 TL",Salam Jambon ve Füme
Apikoğlu Çerezlik Pastırma 100 g,"21,90 TL","Salam, Jambon ve Füme"
Apikoğlu Pastırma (Dilimli) 130 g,"23,90 TL",Salam Jambon ve Füme
Apikoğlu Çemensiz Dilimli Pastırma 130 g,"29,90 TL",Pastırma
Polonez Paket Pastırma Çemensiz 120 g,"32,90 TL",Pastrma
Gurme Çemeni Sıyrılmış Pastırma 120 g,"28,90 TL",Pastırma
Torku Dilimli Çemeni Sıyrılmış Pastırma,"30,95 TL",Pastrma
Polonez Elit Çemensiz Pastırma 140 gr,"38,90 TL",Pastırma
Polonez Çemeni Sıyrılmış Pastırma 80 G,"14,90 TL",Pastrma
Namet Dana Dilimli Yemeklik Pastırma 200 g,"23,90 TL",Pastırma
Gurme Antrikot Pastırma,"129,90 TL",Pastrma
Namet Dilimli Pastırma Çemeni Sıyrılmış  130 g,"37,90 TL",Pastırma
Namet Dana Diliml Seçme Pastırma Paket 130 g,"27,90 TL",Pastrma
Namet Dana Dilimli Klasik Pastırma Paket 130 g,"29,90 TL",Pastırma
Namet Dana Kavurma Kare,"99,90 TL",Pastrma
Apikoğlu Kavurma 100 g,"13,90 TL",Pastırma
Gurme Kavurma,"119,90 TL",Pastrma
Namet Dana Dilimli Kavurma 200 g,"31,90 TL",Pastırma
Torku Kavurma Dilimli 150 g,"22,50 TL",Pastrma
Polonez Kavurma kg,"149,90 TL",Pastırma
Gurma Kavurma 150 g,"22,90 TL",Pastrma
Mr. no Klasik Tavuklu Sandviç 145 g,"9,90 TL",Pastırma
Mr. No Klasik Kaşarlı Sandviç 145 g,"9,90 TL",Pastrma
Mister No Terayaki Soslu Tavuk 220 g,"16,90 TL",Pastırma
Dardanel Hindi Fümeli Sandviç 140 g,"12,90 TL",Pastrma
