Name,Price,Category
"Domates Ekonomik, kg","2,69 TL",Salata Malzemeleri 
Domates Salçalık,"1,69 TL",Salata Malzemeleri 
Kırmızı Lahana,"3,59 TL",Salata Malzemeleri 
Havuç,"3,49 TL",Salata Malzemeleri 
Beyaz Lahana,"2,69 TL",Salata Malzemeleri 
Marul Adet,"3,89 TL",Salata Malzemeleri 
Çengelköy Salatalık,"2,89 TL",Salata Malzemeleri 
Soğan Taze Demet,"2,39 TL",Salata Malzemeleri 
Havuç Paket 1000 g,"4,90 TL",Salata Malzemeleri 
Çarliston Biber,"3,59 TL",Salata Malzemeleri 
"Domates Salkım, kg","6,90 TL",Salata Malzemeleri 
Salatalık,"2,19 TL",Salata Malzemeleri 
Kıl Biber,"8,39 TL",Salata Malzemeleri 
Domates Kokteyl,"12,90 TL",Salata Malzemeleri 
Erüst Fençel,"7,49 TL",Salata Malzemeleri 
Erüst Çıtır Marul 100 g,"8,99 TL",Salata Malzemeleri 
Kıvırcık Salata Adet,"4,39 TL",Salata Malzemeleri 
Erüst Taze Baharatlar,"7,95 TL",Salata Malzemeleri 
Kara Lahana,"3,39 TL",Salata Malzemeleri 
Domates Beef,"4,99 TL",Salata Malzemeleri 
Karışık Akdeniz Salata 150 Gr,"9,99 TL",Salata Malzemeleri 
Salata Maskolin,"9,99 TL",Salata Malzemeleri 
Domates Pembe,"9,90 TL",Salata Malzemeleri 
Biber Sivri Pazar kg,"3,79 TL",Salata Malzemeleri 
Göbek Salata Adet,"4,45 TL",Salata Malzemeleri 
Lolla Rosso,"4,45 TL",Salata Malzemeleri 
Lolla Rosso Yeşil,"4,39 TL",Salata Malzemeleri 
Sarımsak Kuru 250 g,"5,90 TL",Salata Malzemeleri 
Patates,"1,99 TL",Salata Malzemeleri 
Soğan Kuru,"1,69 TL",Salata Malzemeleri 
Sarımsak Örgü kg,"36,90 TL","Patates, Soğan ve Sarımsak"
Sarmısak Taze Demet,"11,90 TL",Patates Soğan ve Sarmsak
Tatlı Patates İthal kg,"43,90 TL","Patates, Soğan ve Sarımsak"
Sarımsak Sepet Adet,"17,90 TL",Patates Soğan ve Sarmsak
Taze Fesleğen,"7,86 TL","Patates, Soğan ve Sarımsak"
Erüst Baby Roka 125 g,"9,90 TL",Patates Soğan ve Sarmsak
Nane,"1,69 TL","Patates, Soğan ve Sarımsak"
Ispanak,"5,40 TL",Patates Soğan ve Sarmsak
Tere,"1,79 TL","Patates, Soğan ve Sarımsak"
Roka,"1,90 TL",Patates Soğan ve Sarmsak
Kuzu Kulağı Demet,"1,90 TL","Patates, Soğan ve Sarımsak"
Maydanoz,"1,55 TL",Patates Soğan ve Sarmsak
Dereotu,"2,39 TL","Patates, Soğan ve Sarımsak"
Deniz Börülcesi Adet,"3,69 TL",Patates Soğan ve Sarmsak
Pazı,"3,49 TL",Otlar ve Yeşillikler
Erüst Kuzu Kulağı 150 g,"9,99 TL",Otlar ve Yeşillikler
Erüst Frenk Maydanoz,"9,99 TL",Otlar ve Yeşillikler
Pazı Organik,"5,99 TL",Otlar ve Yeşillikler
Pırasa Organik,"15,99 TL",Organik Sebzeler 
Fasulye Taze Organik,"24,99 TL",Organik Sebzeler 
Patlıcan Kemer Organik,"14,99 TL",Organik Sebzeler 
Biber Dolmalık Organik,"17,99 TL",Organik Sebzeler 
Pancar Organik,"13,99 TL",Organik Sebzeler 
Patlıcan Bostan Organik,"15,99 TL",Organik Sebzeler 
Organik Patates,"14,99 TL",Organik Sebzeler 
Biber Kapya Organik,"18,99 TL",Organik Sebzeler 
Kabak Organik,"18,99 TL",Organik Sebzeler 
Kıvırcık Organik,"6,99 TL",Organik Sebzeler 
Roka Organik,"5,99 TL",Organik Sebzeler 
Bakla Organik,"16,99 TL",Organik Sebzeler 
Salatalık Organik,"19,99 TL",Organik Sebzeler 
Biber Çarliston Organik,"17,99 TL",Organik Sebzeler 
Organik Sarımsak,"39,99 TL",Organik Sebzeler 
Lahana Kırmızı Organik,"8,99 TL",Organik Sebzeler 
Organik Havuç,"14,99 TL",Organik Sebzeler 
Organik Sivri Biber,"17,99 TL",Organik Sebzeler 
Nane Organik,"4,99 TL",Organik Sebzeler 
Organik Domates Salkım,"19,99 TL",Organik Sebzeler 
Domates Cheery Organik,"24,99 TL",Organik Sebzeler 
Organik Kuru Soğan,"14,99 TL",Organik Sebzeler 
Organik Dereotu,"4,99 TL",Organik Sebzeler 
Domates Cocktail Organik,"22,99 TL",Organik Sebzeler 
Taze Fasulye,"6,90 TL",Mevsim Sebzeleri
Barbunya,"11,75 TL",Mevsim Sebzeleri
Kabak Sakız ,"3,25 TL",Mevsim Sebzeleri
Mantar Kestane 350 g,"7,39 TL",Mevsim Sebzeleri
 Mantar 300 g,"4,59 TL",Mevsim Sebzeleri
Bostan Patlıcan,"3,89 TL",Mevsim Sebzeleri
Çalı Fasulye,"12,89 TL",Mevsim Sebzeleri
Bal Kabağı,"6,49 TL",Mevsim Sebzeleri
Bamya,"29,90 TL",Mevsim Sebzeleri
Mantar Shiitake 200 g,"13,90 TL",Mevsim Sebzeleri
Enginar (Temizlenmiş),"4,99 TL",Mevsim Sebzeleri
Semizotu 150 g,"8,49 TL",Mevsim Sebzeleri
Tek Lezzet Küçük Enginar Kavanoz 600 g,"27,49 TL",Mevsim Sebzeleri
Tek Lezzet Büyük Enginar Kavanoz 930 g,"36,49 TL",Mevsim Sebzeleri
Kereviz Sapı,"9,90 TL",Mevsim Sebzeleri
Bezelye Kavonoz 600 g,"10,95 TL",Mevsim Sebzeleri
Taze Bamya Kavanoz 530 g,"15,99 TL",Mevsim Sebzeleri
Çekirdeksiz Üzüm,"6,79 TL",Mevsim Sebzeleri
Siyah Üzüm,"8,85 TL",Mevsim Sebzeleri
Kavun Galya,"2,69 TL",Mevsim Sebzeleri
Karpuz ,"0,95 TL",Mevsim Sebzeleri
Kavun Kırkağaç Kg,"1,75 TL",Mevsim Sebzeleri
Armut Santa Maria,"7,45 TL",Mevsim Sebzeleri
Mini Karpuz,"1,65 TL",Mevsim Sebzeleri
Siyah Karpuz,"3,99 TL",Sert Meyveler
Organik Yerli Muz,"19,99 TL",Sert Meyveler
Nar Organik,"11,99 TL",Organik Meyveler
Elma Kırmızı Organik,"12,99 TL",Organik Meyveler
Elma  gany Smith Organik,"12,99 TL",Organik Meyveler
Kivi Organik,"14,99 TL",Organik Meyveler
Elma golden Organik,"12,99 TL",Organik Meyveler
Elma Starking Organik,"12,99 TL",Organik Meyveler
Organik Portakal,"9,99 TL",Organik Meyveler
Limon Organik,"12,99 TL",Organik Meyveler
Armut Organik,"27,99 TL",Organik Meyveler
Çilek Organik,"29,99 TL",Organik Meyveler
Valensiya Portakal,"6,85 TL",Organik Meyveler
Limon Dökme,"7,50 TL",Organik Meyveler
Lime 3'lü Paket,"8,89 TL",Organik Meyveler
Limon Lamas,"10,95 TL",Organik Meyveler
Şeftali,"4,95 TL",Organik Meyveler
İthal Ananas,"12,85 TL",Organik Meyveler
İthal Muz,"13,89 TL",Organik Meyveler
Nektarin,"7,35 TL",Organik Meyveler
Mango,"8,89 TL",Organik Meyveler
Hindistan Cevizi,"4,95 TL",Organik Meyveler
Zencefil 250 g,"8,49 TL",Organik Meyveler
Tamarind Demirhindi 225 g,"16,90 TL",Organik Meyveler
Anjelina Erik,"6,95 TL",Egzotik Meyveler
Verita Dr. Blue Blueberry 125 g,"15,90 TL",Egzotik Meyveler
