Name,Price,Category
Carrefour Discount Su 5 l,"2,50 TL",Sular
"Carrefour Discount Su 1,5 l","0,90 TL",Sular
"Carrefour Discount Su 0,5 l","0,50 TL",Sular
Carrefour Bergamot Aromalı Siyah Çay 25 l,"4,75 TL",Sular
Carrefour Siyah Çay 25 li Fincan Poşet,"4,10 TL",Sular
Carrefour Siyah Çay Demlik Poşet 100'lü ,"13,45 TL",Sular
Carrefour Siyah Çay 48li Demlik Poşet,"6,75 TL",Fincan Poşet Çaylar
Carrefour Bergamot Aromalı Siyah Çay 48 l,"7,45 TL",Fincan Poşet Çaylar
Carrefour Rize Çay 1000 g,"18,25 TL",Fincan Poşet Çaylar
Carrefour Rize Çay 500 g,"10,50 TL",Fincan Poşet Çaylar
Carrefour Harman Çay 1000 g,"17,90 TL",Demlik Poşet Çaylar
Carrefour Harman Çay 500 g,"9,90 TL",Demlik Poşet Çaylar
Carrefour Filiz Çay 500 g,"10,90 TL",Demlik Poşet Çaylar
Carrefour Filiz Çay 1000 g,"18,90 TL",Demlik Poşet Çaylar
Carrefour Bergamot Aromalı Çay 1000 g,"20,90 TL",Demlik Poşet Çaylar
Carrefour Bergamot Aromalı Çay 500 g,"10,90 TL",Demlik Poşet Çaylar
Erikli Su 750 ml Cam,"3,45 TL",Rize Çayı
Uludağ Premium Su 400 ml Pet,"1,30 TL",Rize Çay
Uludağ Premium Su Cam Şişe 750 ml,"4,75 TL",Rize Çayı
Uludağ Premium Kaynak Suyu Cam Şişe 330 ml,"2,50 TL",Rize Çay
Saka Su 1.5 lt,"2,25 TL",Harman Çaylar
Pınar Su 1 lt Pet,"2,15 TL",Harman Çaylar
Hayat Su Spor Kapak 75 cl,"2,85 TL",Harman Çaylar
Erikli Su 1.5  lt,"2,50 TL",Harman Çaylar
Nestle Pure Life Su 5 lt,"4,75 TL",Sular
Damla Su 1.5  lt,"2,10 TL",Sular
Erikli Su 330 ml,"1,00 TL",Sular
Damla Su 5  lt,"4,50 TL",Sular
Damla Su 0.5  lt,"1,10 TL",Sular
Erikli Su 1  lt,"2,25 TL",Sular
Nestle Pure Life Su 0.5 lt,"1,10 TL",Sular
Damla Premium Su Cam 750 ml,"4,95 TL",Sular
"Hayat Su 1,5 lt","2,25 TL",Sular
"Pınar Su 0,75 lt Cam Şişe","4,90 TL",Sular
"Pınar Su Cam Şişe  0,33 lt","2,95 TL",Sular
"Erikli 1,5  lt 6 Al 5 Öde","7,95 TL",Sular
Reina Su 33 cl,"2,50 TL",Sular
Erikli Su 500 ml,"1,30 TL",Sular
Hayat Su 5 lt,"4,90 TL",Sular
Damla Su Pet 1  lt,"1,90 TL",Sular
Pınar Su  0.33 lt Pet,"0,95 TL",Sular
"Pınar Su 0,5 lt Pet","1,25 TL",Sular
Erikli Su Özel Ambalaj 5 lt 2'li Paket,"10,00 TL",Sular
Erikli Su 330 ml Cam,"3,45 TL",Sular
"Saka Su 0,5 L","1,15 TL",Sular
"Nestlé Pure Life 0,33 Kids Su","1,75 TL",Sular
"Hayat Su Pet Mascot 0,33 lt","1,50 TL",Sular
"Hayat Su Spor Kapak 0,30 lt","1,95 TL",Sular
Acqua Panna Su 250 ml,"4,50 TL",Sular
Acqua Panna Su 750 ml,"8,00 TL",Sular
Nestle Pure Life 1 lt,"1,75 TL",Sular
Sırmakeş Doğal Kaynak Suyu Bardak 30 ml,"16,00 TL",Sular
Nestle Pure Life Su 1.5 lt,"2,25 TL",Sular
Saka Su 5 lt,"4,90 TL",Sular
Hayat Su 1 lt,"1,75 TL",Sular
"Hayat Baby Su 6x0,33 lt","9,25 TL",Sular
Damla Premium Su Cam 330 ml,"3,25 TL",Sular
Pınar Su 5 lt Pet,"5,20 TL",Sular
Pınar Su 1.5 lt Pet,"2,40 TL",Sular
Erikli Su 5  lt,"5,25 TL",Sular
Powerade 500 ml Ice Blast,"3,50 TL",Sular
Saol Multi V Water 500 ml,"3,75 TL",Sular
Saol Vitamin Water Men Power 500 ml,"3,75 TL",Sular
Powerade 500 ml Sun Rush,"3,50 TL",Sular
Red Bull Enerji İçeceği 250 ml,"4,95 TL",Sular
Red Bull Blue Edition Enerji İçeceği 250 ml,"4,95 TL",Sular
Red Bull Sugarfree Enerji İçeceği 250 ml,"4,95 TL",Sular
Red Bull Yellow Edition Enerji İçeceği 250 ml,"4,95 TL",Sular
Red Bull Lime Edition Enerji İçeceği 250 ml,"4,95 TL",Sular
Red Bull Enerji İçeceği White Edition 250ml,"4,95 TL",Sular
Red Bull Sugarfree Enerji İçeceği 4*250 ml,"22,45 TL",Sular
Red Bull Enerji İçeceği 355 ml,"7,75 TL",Sular
Red Bull Enerji İçeceği 4*250 ml,"22,45 TL",Enerji İçeceği
Red Bull Enerji İçeceği 473 ml,"9,95 TL",Enerji İçeceği
Monster Enerji İçeceği 355 ml Kutu,"5,50 TL",Enerji İçeceği
Burn Enerji İçeceği 4x250 ml,"16,95 TL",Enerji İçeceği
Lion Club Enerji İçeceği 250 ml,"2,50 TL",Enerji İçeceği
Red Bull Enerji İçeceği 6*250 ml,"33,45 TL",Enerji İçeceği
Burn Enerji İçeceği 500 ml,"7,95 TL",Enerji İçeceği
Burn Enerji İçeceği 250 ml,"4,95 TL",Enerji İçeceği
Coca Cola Şekersiz Şişe 6x250 ml,"12,75 TL",Enerji İçeceği
Coca Cola Light Şişe 6x250 ml,"12,75 TL",Enerji İçeceği
Pepsi Light Cola Kutu 250 Ml,"2,40 TL",Enerji İçeceği
Pepsi Max 4*250 ml Kutu,"7,95 TL",Enerji İçeceği
Coca Cola Şekersiz 4x1 l,"14,00 TL",Enerji İçeceği
"Coca Cola Light 1,5 l","4,25 TL",Enerji İçeceği
Pepsi Max Pet 4*1 L,"11,95 TL",Enerji İçeceği
Coca Cola Şekersiz 1 l,"3,75 TL",Enerji İçeceği
Coca Cola Light 250 ml Kutu,"2,39 TL",Diyet Kola
Coca Cola Light 4x1 l,"14,00 TL",Diyet Kola
Coca Cola Light 250 ml Şişe,"2,75 TL",Diyet Kola
"Coca Cola Şekersiz 2,5 l","4,95 TL",Diyet Kola
Coca Cola Light 1 l,"3,50 TL",Diyet Kola
"Coca Cola Şekersiz 1,75 l","4,25 TL",Diyet Kola
Coca Cola Şekersiz Kutu 6x250 ml,"11,95 TL",Diyet Kola
Coca Cola Light 6x250 ml Kutu,"11,95 TL",Diyet Kola
Pepsi Cola Max Pet 1 Lt,"3,60 TL",Diyet Kola
Pepsi Black 250 ml Kutu,"2,40 TL",Diyet Kola
Coca Cola Şekersiz 250 ml,"2,39 TL",Diyet Kola
Coca Cola Şekersiz 450 ml,"2,85 TL",Diyet Kola
Coca Cola 6x250 ml Şişe,"12,75 TL",Diyet Kola
Cola-Cola 250 ml,"2,75 TL",Diyet Kola
Pepsi Cola  4X250 Ml,"7,95 TL",Diyet Kola
Pepsi Cola Pet 450 Ml,"2,75 TL",Diyet Kola
Coca Cola 250 ml,"2,39 TL",1 litreden küçük Kola
Coca Cola 450 ml,"2,85 TL",1 litreden küçük Kola
Pepsi Cola Kutu 250 Ml,"2,40 TL",1 litreden küçük Kola
Coca Cola 6x250 ml Kutu,"11,95 TL",1 litreden küçük Kola
Pepsi Twist 250 ml Kutu,"2,40 TL",1 litreden küçük Kola
Pepsi Twist 4x250 ml Kutu,"7,95 TL",1 litreden küçük Kola
Pepsi 6*200 Ml Şişe,"10,45 TL",1 litreden küçük Kola
"Pepsi Cola Pet 2,5 Lt","5,25 TL",1 litreden küçük Kola
Pepsi Cola Pet 1 Lt,"3,70 TL",1 litreden küçük Kola
Coca Cola 4x1 l,"14,40 TL",1 litreden küçük Kola
"Coca Cola 1,5 l","4,25 TL",1 litreden küçük Kola
Pepsi Cola Pet 1.5 Lt,"3,95 TL",1 litreden küçük Kola
Pepsi Cola Multipack Pet 4*1 Lt,"11,75 TL",1 litreden küçük Kola
"Pepsi Cola Max Pet 1,5 Lt","3,95 TL",1 litreden küçük Kola
Pepsi Twist 1 lt Pet,"3,60 TL",1 litreden küçük Kola
"Coca Cola Lime Limon 1,5 lt Pet","4,25 TL",1 litreden küçük Kola
Pepsi Twist 4*1 L Pet,"11,95 TL",1 litre ve üzeri Kola
Pepsi Twist 2.5 Lt Pet,"5,25 TL",1 litre ve üzeri Kola
Coca Cola Pet 1 l,"3,75 TL",1 litre ve üzeri Kola
"Coca Cola 2,5 l","5,50 TL",1 litre ve üzeri Kola
Sprite 250 ml,"1,79 TL",1 litre ve üzeri Kola
"Sprite 1,5 lt","3,19 TL",1 litre ve üzeri Kola
Sprite 1 lt,"2,63 TL",1 litre ve üzeri Kola
Sprite ml Kutu 6x250,"8,96 TL",1 litre ve üzeri Kola
Fruko Cool Lime 1lt Pet,"3,75 TL",Sade Gazoz
Sprite Şekersiz Gazoz 1 Lt Pet,"3,75 TL",Sade Gazoz
Beyoğlu Klasik Gazoz Cam Şişe 250 ml,"2,20 TL",Sade Gazoz
Çamlıca Gazoz Light 250 ml,"1,59 TL",Sade Gazoz
Uludağ Gazoz Light 1 lt Pet,"3,55 TL",Sade Gazoz
"Uludağ Efsane Gazoz 1,5 lt","3,80 TL",Sade Gazoz
7 Up Limon Aromalı Gazlı İçecek Pet 1 lt,"3,75 TL",Sade Gazoz
"Fruko Gazoz Karışık Meyve Aromalı Gazoz Pet 1,5 lt","3,45 TL",Sade Gazoz
Çamlıca Gazoz Kutu 250 ml,"2,25 TL",Sade Gazoz
7 Up Limon Aromalı Gazlı İçecek Kutu 330 ml,"2,40 TL",Sade Gazoz
"Fruko Gazoz Karışık Meyve Aromalı Gazoz Pet 2,5 lt","4,25 TL",Sade Gazoz
Çamlıca Gazoz Pet 1.5 l,"3,75 TL",Sade Gazoz
Fruko Gazoz Karışık Meyve Aromalı Gazoz Kutu 33 cl,"2,00 TL",Sade Gazoz
Uludağ Efsane Gazoz 6x250 ml,"12,30 TL",Sade Gazoz
Uludağ Efsane Gazoz 1 lt,"3,55 TL",Sade Gazoz
Fruko Gazoz Multipack Kutu 6x33 cl,"9,75 TL",Sade Gazoz
Fruko Pet 330 ml,"1,50 TL",Sade Gazoz
Çamlıca Gazoz Light 1 lt,"3,45 TL",Sade Gazoz
Çamlıca gazoz 250 ml,"1,59 TL",Sade Gazoz
Çamlıca Gazoz Pet 1 lt,"3,45 TL",Sade Gazoz
Fruko Gazoz Karışık Meyve Aromalı Gazoz Pet 1 lt,"2,95 TL",Sade Gazoz
Yedigün Portakal Meyveli Gazoz Pet 1 lt,"3,75 TL",Sade Gazoz
Yedigün Portakal Meyveli Gazoz Kutu 250 ml,"2,40 TL",Sade Gazoz
Fanta 250 ml,"2,39 TL",Sade Gazoz
Fanta Portakal 1 lt,"3,75 TL",Sade Gazoz
"Fanta Portakal Pet 2,5 lt","5,25 TL",Sade Gazoz
Fanta Portakal 500 ml,"2,75 TL",Portakallı Gazoz
"Fanta Portakal 1,5 lt","4,25 TL",Portakall Gazoz
"Yedigün Portakal Meyveli Gazoz Pet 1,5 lt","3,95 TL",Portakallı Gazoz
San Pellegrino Aranciata Portakal 200 ml,"4,50 TL",Portakall Gazoz
San Pellegrino Aranciata Rossa (Kan Portakalı) 200 ml Adet,"4,50 TL",Portakallı Gazoz
Fanta Limonata Limonlu Gazoz Pet 1 lt,"3,75 TL",Portakall Gazoz
Fanta Kutu 6x250 ml,"11,95 TL",Portakallı Gazoz
"Fanta Limonata Limonlu Gazoz Pet 2,5 lt","5,25 TL",Portakall Gazoz
Yedigün 6x200 ml Şişe,"10,45 TL",Portakallı Gazoz
Yedigün 330 ml Pet,"1,95 TL",Portakall Gazoz
"Yedigün Portakal Meyveli Gazoz Pet 2,5 lt","4,95 TL",Portakallı Gazoz
Efsane  Uludağ Portakallı 1 lt,"3,80 TL",Portakall Gazoz
"Yedigün Antalya Güneşi Kan Portakalı Meyveli Gazoz Pet 1,5 lt","3,95 TL",Portakallı Gazoz
Schweppes Mandarin Mandalina Aromalı Gazlı İçecek Şişe 6x250 ml,"12,75 TL",Portakall Gazoz
Yedigün Bodrum Rüzgarı Mandalina Meyveli Gazoz Pet  1 lt,"3,75 TL",Mandalinalı Gazoz
Schweppes Mandalina 1 lt,"4,45 TL",Mandalinal Gazoz
Schweppes Mandalina 250 ml,"2,95 TL",Mandalinalı Gazoz
"Yedigün Bodrum Rüzgarı Mandalina Meyveli Gazoz Pet  2,5 lt","4,95 TL",Mandalinal Gazoz
"Yedigün Bodrum Rüzgarı Mandalina Meyveli Gazoz Pet 1,5 lt","3,95 TL",Mandalinalı Gazoz
Beyoğlu Limonlu Gazoz Cam Şişe 250 ml,"2,20 TL",Mandalinal Gazoz
Schweppes Limon 1 lt,"4,45 TL",Mandalinalı Gazoz
Schweppes Limon 250 ml,"2,95 TL",Mandalinal Gazoz
Schweppes Misket Limon Nane Şişe 250 ml,"2,95 TL",Mandalinalı Gazoz
Aspire Elma ve Acai Aromalı Hafif Gazlı İçecek Kutu 250 ml,"4,95 TL",Mandalinal Gazoz
Beyoğlu Zencefilli Gazoz Cam Şişe 250 ml,"2,40 TL",Limonlu Gazoz
Aspire Yaban Mersini Aromalı Hafif Gazlı İçecek 250 ml,"4,95 TL",Limonlu Gazoz
Royal Club Ginger Ale 20 cl,"4,95 TL",Limonlu Gazoz
Schweppes Ginger Ale  Şişe 250 ml,"2,95 TL",Limonlu Gazoz
Bordo Şalgam Suyu 1 l,"3,50 TL",Limonlu Gazoz
Doğanay Şalgam Suyu Acısız 1000 ml,"3,95 TL",Limonlu Gazoz
Kilikya Şalgam 1 lt Normal,"3,55 TL",Limonlu Gazoz
Bordo Şalgam Suyu Acılı 1 l,"3,50 TL",Limonlu Gazoz
Kilikya Şalgam 2 lt Acılı,"6,75 TL",Diğer Meyvalı Gazoz
Doğanay Şalgam Suyu Acılı 1000 ml,"3,95 TL",Diğer Meyval Gazoz
Kilikya Şalgam 1 lt Acılı,"3,55 TL",Diğer Meyvalı Gazoz
Doğanay Acılı Şalgam Cam 330 ml,"3,25 TL",Diğer Meyval Gazoz
Doğanay Acılı Şalgam Suyu 1  lt Cam Şişe,"6,45 TL",Diğer Meyvalı Gazoz
"Didi Şeftali Buzlu Çay 2,5  lt","4,45 TL",Diğer Meyval Gazoz
"Lipton Double Ice Tea Kayısı Ve Şeftali Aromalı İçecek Pet 1,5 Lt","4,50 TL",Şeftalili Buzlu Çay
"Lipton Ice Tea Şeftali Aromalı İçecek Pet 1,5Lt","4,50 TL",Şeftalili Buzlu Çay
"Lipton Ice Tea Yeşil Çaylı Limon Aromalı İçecek Pet 1,5 Lt","4,50 TL",Şeftalili Buzlu Çay
Didi Soğuk Çay Şeftalili 500 ml,"3,15 TL",Şeftalili Buzlu Çay
Didi Soğuk Çay Şeftali Kutu 330 ml,"2,25 TL",Şeftalili Buzlu Çay
"Didi Şeftali Pet 1,5  lt","3,95 TL",Şeftalili Buzlu Çay
Fusetea Şeftali Cam 250 ml,"2,50 TL",Şeftalili Buzlu Çay
"Fusetea Şeftali Pet Şişe 1,5 lt","4,50 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Light Şeftali Aromalı İçecek Kutu 330 Ml,"2,45 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Light Şeftali Aromalı İçecek Kutu  6X330 Ml,"13,95 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Şeftali Aromalı İçecek Kutu 330 Ml,"2,45 TL",Şeftalili Buzlu Çay
Didi Şeftali 1  lt Pet,"3,50 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Şeftali Aromalı İçecek Pet 1 Lt,"4,40 TL",Şeftalili Buzlu Çay
Fusetea Mango 6x33 cl,"12,50 TL",Şeftalili Buzlu Çay
Fusetea Şeftali 6x33 cl,"12,50 TL",Şeftalili Buzlu Çay
Fusetea Şeftali 33 cl,"2,50 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Şeftali Aromalı İçecek Kutu 6X330 Ml,"13,95 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Şeftali Aromalı İçecek Pet 4X1 Lt,"13,95 TL",Şeftalili Buzlu Çay
Fusetea Şeftali Pet 4x1 lt,"8,75 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Şeftali 4*250 ml ,"7,95 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Şeftali Aromalı İçecek Kutu 500 Ml,"3,00 TL",Şeftalili Buzlu Çay
Fusetea Şeftali Kutu 200 ml,"1,75 TL",Şeftalili Buzlu Çay
Didi Şeftali 250 ml Kutu,"2,15 TL",Şeftalili Buzlu Çay
Lipton Ice Tea Şeftali Aromalı İçecek Pet 2 Lt,"5,25 TL",Şeftalili Buzlu Çay
Fusetea Şeftali 1 lt,"3,50 TL",Şeftalili Buzlu Çay
"Didi Limon Buzlu Çay Pet 2,5  lt","4,45 TL",Şeftalili Buzlu Çay
"Lipton Ice Tea Limon Aromalı İçecek Pet 1,5 Lt","4,50 TL",Limonlu Buzlu Çay
"Didi Limon Pet 1,5  lt","3,95 TL",Limonlu Buzlu Çay
Didi soğuk Çay Limon Kutu 330 ml,"2,25 TL",Limonlu Buzlu Çay
Didi Limon 1  lt Pet,"3,50 TL",Limonlu Buzlu Çay
Lipton Ice Tea Limon Aromalı İçecek Kutu  330 Ml,"2,45 TL",Limonlu Buzlu Çay
Didi Limon 250 ml Kutu,"2,15 TL",Limonlu Buzlu Çay
Lipton Ice Tea Limon Aromalı İçecek Pet 1 Lt,"4,40 TL",Limonlu Buzlu Çay
Lipton Ice Tea Limon Aromalı İçecek Pet  2 Lt,"5,25 TL",Limonlu Buzlu Çay
Fusetea Limon 1 lt,"3,50 TL",Limonlu Buzlu Çay
Fusetea Limon 6x33 cl,"12,50 TL",Limonlu Buzlu Çay
Lipton Ice Tea Limon Aromalı İçecek Kutu 6X330 Ml,"13,95 TL",Limonlu Buzlu Çay
