Name,Price,Category
Carrefour Tahin 290 g,"7,95 TL",Tahin
Carrefour Tahin 760 g + Pekmez 1000 g,"30,90 TL",Tahin
Carrefour Harnup Pekmezi 1000 g,"18,90 TL",Tahin
Carrefour Harnup Pekmezi 390 g,"7,95 TL",Tahin
Carrefour Kakaolu Helva 500 g,"9,90 TL",Pekmez
Carrefour Helva Sade 500 g,"9,90 TL",Pekmez
Carrefour Fıstıklı Helva 500 g,"14,90 TL",Pekmez
Koska Tahin Cam 300 g,"15,50 TL",Pekmez
Koska Tahin 620 g Cam Kavanoz,"29,90 TL",Helva
Koska Tahin Bidon 550 g,"23,90 TL",Helva
Koska Süper İkili 3x40 g,"6,25 TL",Helva
Koska Üzüm Pekmezi 800 g Cam Kavanoz,"18,90 TL",Helva
Koska Keçiboynuzu Özü 310 g,"11,50 TL",Helva
Koska Keçiboynuzlu Tahin Pekmez 350 g,"12,90 TL",Helva
Koska Fındık Püreli Tahin Pekmez 320 g,"13,75 TL",Tahin
Koska 2'li Tah.Pekmez 200 g,"7,25 TL",Tahin
Koska Dut Pekmezi Bidon 700 g,"16,50 TL",Tahin
Ancora Harnup Pekmezi Cam 800 g,"13,50 TL",Tahin
Ancora Dut Pekmez Cam 800 g,"12,50 TL",Tahin
Koska Pekmez 700 g Bidon,"15,75 TL",Tahin
Koska Üzüm Pekmezi Cam Kavanoz 380 g,"9,90 TL",Pekmez
Koska Dut Pekmezi 380 g,"9,90 TL",Pekmez
Yenigün Pekmix 500 g,"16,50 TL",Pekmez
Koska Cam Tahin 350 g,"12,00 TL",Pekmez
Koska Keçiboynuzu Harnup Pekmezi 380 g,"9,90 TL",Pekmez
Koska Cevizli Yaz Helva 500 g Paket,"12,90 TL",Pekmez
Koska Gurme Duble Fıstıklı Helva 400 g,"49,90 TL",Helva
Koska Badem Ezmeli Helva 500 g,"12,45 TL",Helva
Koska Keçiboynuzlu Fındıkı Helva 200 g,"8,90 TL",Helva
Koska Fıstıklı Helva 80 g,"4,25 TL",Helva
Koska Fıstıklı Helva Paket 500 g,"25,90 TL",Helva
Torku Helva Antep Fıstıklı 500 g,"25,00 TL",Helva
Torku Helva Kakaolu 500 g,"13,00 TL",Helva
Koska Kakaolu Tahin Helva 500 g,"15,90 TL",Helva
Koska Sade Helva 500 g Paket,"15,90 TL",Helva
Koska Sade Helva 80 g,"2,75 TL",Helva
Koska Çikolatalı Helva Kutu 400 g,"14,95 TL",Helva
Koska Duble Fıstıklı Kürek Helva 350 g,"31,90 TL",Helva
Koska Sade Helva Kutu 400 g,"14,95 TL",Helva
Koska Fırında Helva 250 g,"10,95 TL",Helva
Koska Diabetik Helva Fıstıklı 350 g,"24,50 TL",Helva
Koska Fıstıklı Helva Kutu 400 g,"24,90 TL",Helva
Koska Fıstıklı Helva 200 g,"10,50 TL",Helva
Koska Sade Helva 200 g Paket,"6,75 TL",Helva
Koska Çikolatalı Helva 200 g Paket,"6,75 TL",Helva
Koska Fındık Püreli Helva 200 g,"8,75 TL",Helva
Koska Cevizli Yaz Helvası 200 g,"6,25 TL",Helva
Tamek Çilek Reçeli Ekstra Geleneksel 380 g,"7,12 TL",Helva
Yenigün Gold Seri Reçel Çilek 450 g,"16,90 TL",Çilek Reçeli
Penguen Çilek Reçeli 380 g,"10,75 TL",Çilek Reçeli
St.Dalfour Çilek Reçeli 284 g,"29,90 TL",Çilek Reçeli
Carrefour Çilek Reçeli 2000 g,"19,95 TL",Çilek Reçeli
Carrefour Çilek Reçeli 700 g,"8,95 TL",Çilek Reçeli
Tat Çilek Reçeli 380 g,"7,95 TL",Çilek Reçeli
Carrefour Çilek Reçeli 380 g,"4,95 TL",Çilek Reçeli
Koska Çilek Reçeli 380 g,"8,90 TL",Çilek Reçeli
Tamek Vişne Reçeli Ekstra Geleneksel 380 g,"7,12 TL",Çilek Reçeli
Tamek Vişne Reçeli Ekstra Geleneksel 800 g,"11,92 TL",Çilek Reçeli
Yenigün Vişne Reçeli 450 g,"16,90 TL",Çilek Reçeli
Penguen Vişne Reçeli 380 g,"10,75 TL",Çilek Reçeli
Yenigün Vişne Reçeli 400 g,"9,95 TL",Çilek Reçeli
Tamek Şeker İlavesiz Vişne Reçeli 290 g,"11,90 TL",Çilek Reçeli
Tamek Şeker İlavesiz Çilek Reçeli 290 g,"11,90 TL",Çilek Reçeli
Tat Vişne Reçeli 380 g,"7,95 TL",Çilek Reçeli
Carrefour Vişne Reçeli 380 g,"4,95 TL",Vişne Reçeli
Koska Vişne Reçeli 380 g,"8,90 TL",Vişne Reçeli
Tat Kayısı Reçeli 380 g,"7,95 TL",Vişne Reçeli
380 g Portakal Reçeli - Premium,"7,12 TL",Vişne Reçeli
Tamek Ayva Reçeli Geleneksel 380 g,"7,12 TL",Vişne Reçeli
St Dalfour Zencefil ve Portakallı Reçeli 284 g,"29,90 TL",Vişne Reçeli
Yenigün Karpuz Reçeli 450 g,"16,90 TL",Vişne Reçeli
Yenigün Ceviz Reçeli 450 g,"37,90 TL",Vişne Reçeli
Yenigün Turunç Reçeli 450 g,"16,90 TL",Diğer Reçeller
Yenigün İncir Reçeli 450 g,"16,90 TL",Diğer Reçeller
St Dalfour Karışık Meyve Reçeli 284 g,"29,90 TL",Diğer Reçeller
Penguen Karadut Reçeli 380 g (Extra Geleneksel),"10,75 TL",Diğer Reçeller
St Dalfour Portakal Reçeli 284 g,"29,90 TL",Diğer Reçeller
St Dalfour Şeftali Reçeli 284 g,"29,90 TL",Diğer Reçeller
St Dalfour Mavi Böğürtlen Reçeli 284 g,"32,90 TL",Diğer Reçeller
Carrefour Böğürtlen Reçeli 700 g,"8,95 TL",Diğer Reçeller
Tat İncir Reçeli 380 g,"7,95 TL",Diğer Reçeller
Tat Ayva Reçeli 380 g,"7,95 TL",Diğer Reçeller
Carrefour Böğürtlen Reçeli 380 g,"4,95 TL",Diğer Reçeller
Tamek Ahududu Reçeli 380 g,"7,12 TL",Diğer Reçeller
Yenigün Ahududu Reçeli 400 g,"9,95 TL",Diğer Reçeller
Carrefour Ahududu Reçeli 700 g,"8,95 TL",Diğer Reçeller
Tat Ahududu Reçeli 380 g,"7,95 TL",Diğer Reçeller
Carrefour Ahududu Reçeli 380 g,"4,95 TL",Diğer Reçeller
Koska Ahududu Reçeli 380 g,"8,90 TL",Diğer Reçeller
Dr.Oetker Vitalis Müsli Kabak Çekirdeği Çilekli  450 g,"17,95 TL",Diğer Reçeller
Dr.Oetker Vitalis Müsli Çikolata ve Fındıklı 450 g,"17,95 TL",Diğer Reçeller
Eti Lifalif Yulaf Ezmesi 500 g,"7,45 TL",Diğer Reçeller
Eti Form Müsli 350 g,"10,95 TL",Diğer Reçeller
Eti Lifalif Kuru Meyve Fındık 350 g,"9,95 TL",Diğer Reçeller
Nestle Müsli Tropikal Meyveli 350 g,"9,75 TL",Ahududu Reçeli
Doğalsan Yulaf Ezmesi 400 g,"9,95 TL",Ahududu Reçeli
Dr. Oetker Vitalis Ballı 450 g,"17,95 TL",Müsli
Doğa Müsli Yulaf Ezmesi 500 g,"9,90 TL",Müsli
Dr. Oetker Vitalis Çikolatalı 450 g,"17,95 TL",Müsli
Dr. Oetker Meyveli Vitalis 450 g,"17,95 TL",Müsli
Weetabix Kepekli Gevrek,"43,90 TL",Müsli
Weetabix Meyveli  Lifli Gevrek,"48,50 TL",Müsli
Ülker Kellogg's Corn Flakes Kırmızı Meyveli 250 g,"6,00 TL",Müsli
Kellogg's Coco Pops Buğday ve Mısır Gevreği 2x450 g,"12,95 TL",Müsli
Ülker Kellogg's Kırmızı Meyveler Corn Flakes 500 g,"10,00 TL",Müsli
Nestlé Corn Flakes Mısır Gevreği 450 g,"8,45 TL",Müsli
Ülker Kelloggs Special K Sade Kahvaltılık Gevrek 420 g,"8,72 TL",Müsli
Ülker Special K Çikolatalı Mısır Gevreği 450 g,"10,00 TL",Müsli
