Name,Price,Category
Pınar Tam Yağlı Süt 4x1 lt,"19,80 TL",Tam ve Yarım Yağlı Sütler
Sütaş Yağlı Süt 1 lt,"5,99 TL",Tam ve Yarm Yağl Sütler
Pınar Yarım Yağlı Süt 1 lt,"3,99 TL",Tam ve Yarım Yağlı Sütler
İçim Tam Yağlı Süt 500 ml,"2,95 TL",Tam ve Yarm Yağl Sütler
İçim Tam Yağlı Süt 1 lt,"4,75 TL",Tam ve Yarım Yağlı Sütler
Sütaş Yarım Yağlı Süt 1 lt,"4,90 TL",Tam ve Yarm Yağl Sütler
İçim Tam Yağlı Şişe Süt 1 lt,"4,75 TL",Tam ve Yarım Yağlı Sütler
İçim Tam Yağlı Şişe Süt 500 ml,"2,95 TL",Tam ve Yarm Yağl Sütler
İçim Tam Yağlı Süt 4x1 lt,"18,95 TL",Tam ve Yarım Yağlı Sütler
Torku UHT Tam Yağlı Süt 1 lt,"4,95 TL",Tam ve Yarm Yağl Sütler
Sütaş Süt UHT 200 ml 6'lı,"9,95 TL",Tam ve Yarım Yağlı Sütler
İçim Yarım Yağlı Süt 4x1 lt,"15,75 TL",Tam ve Yarm Yağl Sütler
İçim Sade Süt Tam Yağlı 6x200 ml,"8,95 TL",Tam ve Yarım Yağlı Sütler
İçim Yarım Yağlı Süt 1 lt,"3,95 TL",Tam ve Yarm Yağl Sütler
Pınar Tam Yağlı Süt 1 lt,"4,95 TL",Tam ve Yarım Yağlı Sütler
Sek UHT Süt 1 lt,"4,35 TL",Tam ve Yarm Yağl Sütler
Torku UHT Süt 200 ml,"1,85 TL",Tam ve Yarım Yağlı Sütler
İçim Uht Süt 1/5,"1,75 TL",Tam ve Yarm Yağl Sütler
Pınar Tam Yağlı Süt 6x200 ml,"10,60 TL",Tam ve Yarım Yağlı Sütler
Pınar UHT Süt 500 ml,"3,50 TL",Tam ve Yarm Yağl Sütler
Carrefour Tam Yağlı Süt 1 lt,"3,25 TL",Tam ve Yarım Yağlı Sütler
Carrefour Yarım Yağlı Süt 1 l,"2,95 TL",Tam ve Yarm Yağl Sütler
Torku Yarım Yağlı Süt 1 lt,"4,50 TL",Tam ve Yarım Yağlı Sütler
Pınar Tam Yağlı Süt 200 ml,"1,80 TL",Tam ve Yarm Yağl Sütler
Sütaş Yağlı Süt 500 ml,"4,00 TL",Tam ve Yarım Yağlı Sütler
Sek Süt 200 ml,"1,75 TL",Tam ve Yarm Yağl Sütler
Sek UHT Süt 500 ml,"3,30 TL",Tam ve Yarım Yağlı Sütler
Sütaş Yağlı Süt 200 ml,"1,85 TL",Tam ve Yarm Yağl Sütler
Pınar Tam Yağlı Süt 6x500 ml,"20,90 TL",Tam ve Yarım Yağlı Sütler
İçim Laktozsuz Süt 500 ml,"3,45 TL",Tam ve Yarm Yağl Sütler
Pınar Denge Laktozsuz Süt 1 lt,"5,25 TL",Tam ve Yarım Yağlı Sütler
İçim Fit Süt Kahveli 500 ml,"5,75 TL",Tam ve Yarm Yağl Sütler
İçim Fit Süt Kahveli 250 ml,"3,25 TL",Tam ve Yarım Yağlı Sütler
İçim Organik Süt 1 lt,"6,25 TL",Tam ve Yarm Yağl Sütler
İçim Fit Çikolata 500 ml,"5,75 TL",Light Süt
İçim Organik Süt 200 ml,"2,45 TL",Light Süt
İçim Light Süt 1 lt,"4,95 TL",Light Süt
İçim Laktozsuz Süt 200 ml,"1,90 TL",Light Süt
Alpro Soya Sütü Vanilyalı 1 lt,"22,95 TL",Light Süt
Pınar Organik Süt 1/1,"6,90 TL",Light Süt
Pınar Süt Light 1 lt,"5,85 TL",Light Süt
Pınar Extra Light Süt 1/2,"3,40 TL",Light Süt
Pınar Organik Süt 1/5,"2,95 TL",Light Süt
Pınar Laktozsuz Süt 1/2,"4,15 TL",Light Süt
Pınar Denge Laktozsuz 200 ml,"2,25 TL",Light Süt
Pınar Organik Süt 6'lı,"17,50 TL",Light Süt
Pınar Organik Süt 1/2,"4,50 TL",Light Süt
Pınar Protein Vanilyalı Süt 200 ml,"3,45 TL",Light Süt
Sütaş Laktozsuz Süt 500 ml,"3,95 TL",Light Süt
Protein Kakaolu Süt 200 ml,"3,45 TL",Light Süt
Pınar Protein Yer Fıstığı  Muz Aromalı Süt 500 ml,"6,95 TL",Light Süt
