Name,Price,Category
Carrefour Bio Organik Yumurta 10'lu,"13,95 TL",Yumurta
Carrefour Organik Yumurta 6'lı,"8,95 TL",Yumurta
Carrefour Tahin 290 g,"7,95 TL",Yumurta
Carrefour Tahin 760 g + Pekmez 1000 g,"30,90 TL",Yumurta
Carrefour Harnup Pekmezi 1000 g,"18,90 TL",Tahin
Carrefour Harnup Pekmezi 390 g,"7,95 TL",Tahin
Carrefour Kakaolu Helva 500 g,"9,90 TL",Tahin
Carrefour Helva Sade 500 g,"9,90 TL",Tahin
Carrefour Fıstıklı Helva 500 g,"14,90 TL",Pekmez
Carrefour Eski Kaşar Peynir,"49,90 TL",Pekmez
Carrefour Eski Kaşar 500 g,"23,50 TL",Pekmez
Carrefour gemlik Sele Zeytin,"20,95 TL",Pekmez
Carrefour gemlik Sele Zeytin,"28,90 TL",Helva
Kumbasar 30'lu Yumurta 53-62 g,"10,90 TL",Helva
Sade Organik Yumurta 10'lu,"14,90 TL",Helva
Carrefour Gezen Tavuk Yumurtası 10 Adet M boy,"7,95 TL",Helva
Flotty Baby Organik Yumurta 8'li,"11,25 TL",Helva
Armutçuoğlu Organik Yumurta 6'lı,"10,50 TL",Helva
Keskinoğlu Organik Yumurta 10'lu,"11,95 TL",Dil Peyniri
Kumbasar 10'lu Yumurta 53-62 g,"5,50 TL",Dil Peyniri
Doğalım Yumurta 15'li 53-62 g,"16,95 TL",Eski Kaşar
Keskinoğlu Omega-3 Yumurta 10'lu,"7,45 TL",Eski Kaşar
Keskinoğlu Yumurta 30 'lu (M),"12,95 TL",Siyah Zeytin
Kumbasar Jumbo 10'lu Yumurta 63-72 g,"5,90 TL",Siyah Zeytin
Doğalım Yumurta 6'lı 53-62 g,"7,45 TL",Yumurta
Flotty Organik Yumurta 8'li 53-62 g,"15,20 TL",Yumurta
Keskinoğlu Süper Yumurta 10'lu,"4,65 TL",Yumurta
Keskinoğlu Yumurta 15'li,"6,75 TL",Yumurta
Keskinoğlu 6'lı (M) Yumurta,"2,65 TL",Yumurta
Keskinoğlu Çift Sarılı Yumurta XL 10'lu,"9,25 TL",Yumurta
Armutçuoğlu Organik Yumurta 10'lu 53-62 ,"16,50 TL",Yumurta
Keskinoğlu Doğal Besi Yumurta 10'lu,"8,99 TL",Yumurta
Kumbasar 6'lı Yumurta (53-62 g),"3,35 TL",Yumurta
Kumbasar Köy Yumurtası Tadında 10'lu,"6,45 TL",Yumurta
Flotty Herbs Organik Yumurta 8'li,"17,35 TL",Yumurta
Kumbasar Yumurta 15'li (63-72 g),"7,45 TL",Yumurta
Kumbasar Yumurta 15'li ( 53-62 g ),"6,15 TL",Yumurta
Kumbasar Yumurta 30'lu 63-72 g,"14,75 TL",Yumurta
Flotty Sports Organik Yumurta 8'li,"17,35 TL",Yumurta
Carrefour Yumurta 15'li,"5,95 TL",Yumurta
Carrefour Yumurta 30'lu M Boy,"9,95 TL",Yumurta
Raya Gezen Tavuk Yumurtası 15'li,"20,90 TL",Yumurta
Ali Babanın Bahçesinden Gezen Tavuk Yumurtası 15'li,"16,95 TL",Yumurta
Kumbasar 10'lu Omega 3 Yumurta,"6,75 TL",Yumurta
City Farm Organik Yumurta 10'lu,"17,25 TL",Yumurta
Koska Tahin Cam 300 g,"15,50 TL",Yumurta
Koska Tahin 620 g Cam Kavanoz,"29,90 TL",Yumurta
Koska Tahin Bidon 550 g,"23,90 TL",Yumurta
Koska Süper İkili 3x40 g,"6,25 TL",Pekmez
Koska Üzüm Pekmezi 800 g Cam Kavanoz,"18,90 TL",Pekmez
Koska Keçiboynuzu Özü 310 g,"11,50 TL",Pekmez
Koska Keçiboynuzlu Tahin Pekmez 350 g,"12,90 TL",Pekmez
Koska Fındık Püreli Tahin Pekmez 320 g,"13,75 TL",Pekmez
Koska 2'li Tah.Pekmez 200 g,"7,25 TL",Pekmez
Koska Dut Pekmezi Bidon 700 g,"16,50 TL",Pekmez
Ancora Harnup Pekmezi Cam 800 g,"13,50 TL",Pekmez
Ancora Dut Pekmez Cam 800 g,"12,50 TL",Pekmez
Koska Pekmez 700 g Bidon,"15,75 TL",Pekmez
Koska Üzüm Pekmezi Cam Kavanoz 380 g,"9,90 TL",Pekmez
Koska Dut Pekmezi 380 g,"9,90 TL",Pekmez
Yenigün Pekmix 500 g,"16,50 TL",Pekmez
Koska Cam Tahin 350 g,"12,00 TL",Pekmez
Koska Keçiboynuzu Harnup Pekmezi 380 g,"9,90 TL",Pekmez
Koska Cevizli Yaz Helva 500 g Paket,"12,90 TL",Pekmez
Koska Gurme Duble Fıstıklı Helva 400 g,"49,90 TL",Pekmez
Koska Badem Ezmeli Helva 500 g,"12,45 TL",Pekmez
Koska Keçiboynuzlu Fındıkı Helva 200 g,"8,90 TL",Pekmez
Koska Fıstıklı Helva 80 g,"4,25 TL",Pekmez
Koska Fıstıklı Helva Paket 500 g,"25,90 TL",Pekmez
Torku Helva Antep Fıstıklı 500 g,"25,00 TL",Pekmez
Torku Helva Kakaolu 500 g,"13,00 TL",Pekmez
Koska Kakaolu Tahin Helva 500 g,"15,90 TL",Pekmez
Koska Sade Helva 500 g Paket,"15,90 TL",Helva
Koska Sade Helva 80 g,"2,75 TL",Helva
Koska Çikolatalı Helva Kutu 400 g,"14,95 TL",Helva
Koska Duble Fıstıklı Kürek Helva 350 g,"31,90 TL",Helva
Koska Sade Helva Kutu 400 g,"14,95 TL",Helva
Koska Fırında Helva 250 g,"10,95 TL",Helva
Koska Diabetik Helva Fıstıklı 350 g,"24,50 TL",Helva
Koska Fıstıklı Helva Kutu 400 g,"24,90 TL",Helva
Koska Fıstıklı Helva 200 g,"10,50 TL",Helva
Koska Sade Helva 200 g Paket,"6,75 TL",Helva
Koska Çikolatalı Helva 200 g Paket,"6,75 TL",Helva
Koska Fındık Püreli Helva 200 g,"8,75 TL",Helva
Koska Cevizli Yaz Helvası 200 g,"6,25 TL",Helva
Tamek Çilek Reçeli Ekstra Geleneksel 380 g,"7,12 TL",Helva
Yenigün Gold Seri Reçel Çilek 450 g,"16,90 TL",Helva
Penguen Çilek Reçeli 380 g,"10,75 TL",Helva
St.Dalfour Çilek Reçeli 284 g,"29,90 TL",Helva
Carrefour Çilek Reçeli 2000 g,"19,95 TL",Helva
Carrefour Çilek Reçeli 700 g,"8,95 TL",Helva
Tat Çilek Reçeli 380 g,"7,95 TL",Helva
Carrefour Çilek Reçeli 380 g,"4,95 TL",Helva
Koska Çilek Reçeli 380 g,"8,90 TL",Helva
Tamek Vişne Reçeli Ekstra Geleneksel 380 g,"7,12 TL",Helva
Tamek Vişne Reçeli Ekstra Geleneksel 800 g,"11,92 TL",Helva
Yenigün Vişne Reçeli 450 g,"16,90 TL",Vişne Reçeli
Penguen Vişne Reçeli 380 g,"10,75 TL",Vişne Reçeli
Yenigün Vişne Reçeli 400 g,"9,95 TL",Vişne Reçeli
Tamek Şeker İlavesiz Vişne Reçeli 290 g,"11,90 TL",Vişne Reçeli
Tamek Şeker İlavesiz Çilek Reçeli 290 g,"11,90 TL",Vişne Reçeli
Tat Vişne Reçeli 380 g,"7,95 TL",Vişne Reçeli
