Name,Price,Category
Carrefour Soya Sosu 250 ml,"7,45 TL",Çin Sosları
Carrefour Limon Sosu 1 l,"2,95 TL",Çin Soslar
Carrefour Üzüm Sirkesi 1 l,"3,45 TL",Sirkeler
Carrefour Elma Sirkesi 1 l,"3,45 TL",Sirkeler
Carrefour Nar Ekşili Sos 250 ml,"3,95 TL",Sirkeler
Amoy Oyster (İstridye) Sosu 555 g,"21,68 TL",Sirkeler
Kühne Soya Sosu 250 ml,"11,06 TL",Sirkeler
Lee Kum Kee Sarımsaklı Biber Sos 226 g,"16,88 TL",Sirkeler
Lee Kum Kee İstiridye (OYSTER) Sos 510 g,"18,68 TL",Nar Ekşisi ve Diğer Soslar
Lee Kum Kee Tatlı Ekşi Sos 240 g,"19,46 TL",Nar Ekşisi ve Diğer Soslar
Amoy Chili Sos 150 g,"14,63 TL",Çin Sosları
Kemal Kükrer Soya Sosu 250 ml,"11,44 TL",Çin Soslar
Lee K. Kee Susam Yağı 148 ml,"25,88 TL",Çin Sosları
Amoy Light Soya Sosu 150 ml,"9,68 TL",Çin Soslar
Kühne Light Soya Sos 250 ml,"11,06 TL",Çin Sosları
Calve Sarımsaklı Mayonez 245 g,"8,21 TL",Çin Soslar
Calve Mayonez 350 g,"7,31 TL",Çin Sosları
Tat Mayonez 330 g,"5,96 TL",Çin Soslar
Tat Mayonez 205 g,"5,48 TL",Çin Sosları
Heinz Mayonez 395 g,"11,21 TL",Çin Soslar
Pınar Mayonez 350G,"6,19 TL",Çin Sosları
Pınar Mayonez 460 g Cam,"8,06 TL",Çin Soslar
Pınar Mayonez 225 g Cam,"4,31 TL",Çin Sosları
Calve Light Mayonez 220 g,"5,96 TL",Çin Soslar
Heinz Mayonez 215 g,"7,16 TL",Mayonez
Tat Büfe Mayonez 550 g,"8,93 TL",Mayonez
Calve Mayonez 540 g,"9,71 TL",Mayonez
Pınar Mayonez 500G,"8,63 TL",Mayonez
PastaVılla Acılı Sos,"5,44 TL",Mayonez
Knorr Domatesli Makarna Sosu 45 g,"3,71 TL",Mayonez
Knorr Kremalı Mantarlı Makarna Sosu 35 g,"3,71 TL",Mayonez
Barilla Domatesli ve Fesleğenli Makarna Sosu 200 g,"11,96 TL",Mayonez
Pastavilla Pesto Sos,"8,96 TL","Makarna, Pilav Sosları"
Barilla Arrabbiata Acılı Domatesli Makarna Sosu 400 g,"11,96 TL",Makarna Pilav Soslar
Barilla Napoletana Domatesli Makarna Sosu 400 g,"11,96 TL","Makarna, Pilav Sosları"
Barilla Pesto Fesleğenli Makarna Sosu 190 g,"11,96 TL",Makarna Pilav Soslar
Barilla Pomodori Secchi Pesto Sos 200 g,"11,96 TL","Makarna, Pilav Sosları"
Knorr Fesleğenli Makarna Sosu 50 g,"3,71 TL",Makarna Pilav Soslar
Knorr Peynirli Makarna Sosu 50 g,"3,71 TL","Makarna, Pilav Sosları"
Barilla Basilico Makarna Sosu 400 g,"11,96 TL",Makarna Pilav Soslar
Pastavılla Napolıten Sos,"5,44 TL","Makarna, Pilav Sosları"
Barilla Pesto Ricotta ve Cevizli makarna sosu 190 g,"11,96 TL",Makarna Pilav Soslar
Tat ÇapÇap Ketçap (Sebze) 250 g,"3,90 TL","Makarna, Pilav Sosları"
Heinz Ketçap 250 g Ve Mayonez 215 g İkili Set,"11,59 TL",Makarna Pilav Soslar
Tat Ketçap Tatlı 400 g,"4,84 TL","Makarna, Pilav Sosları"
Calve Ketçap 420 g ve Mayonez 360 g Seti,"12,56 TL",Makarna Pilav Soslar
