Name,Price,Category
Carrefour Çocuk Diş Fırçası,"3,25 TL",Çocuklar için  Diş Frıçaları
Carrefour Premium Diş Fırçası,"4,75 TL",Çocuklar için  Diş Frçalar
Carrefour 2'li Ekonomik Aile Diş Fırçası,"4,95 TL",Çift Etkili Diş Fırçaları
Carrefour Ağda Bezi,"2,45 TL",Çift Etkili Diş Frçalar
Carrefour Ilık Ağda 250 g,"4,60 TL",Çift Etkili Diş Fırçaları
Carrefour Jojoba Sabun 125 g,"5,90 TL",Çift Etkili Diş Frçalar
Carrefour Argan Sabun 125 g,"6,50 TL",Ağda Makinesi ve Malzemeleri
Carrefour Kefir Sabun 125 g,"5,90 TL",Ağda Makinesi ve Malzemeleri
Carrefour Keçi Özlü Sabun 125 g,"5,90 TL",Ağda
Carrefour Pirinç Sabun 125 g,"5,90 TL",Ağda
Carrefour gül Sabun 125 g,"5,90 TL",Güzellik Sabunu
Carrefour Salyangoz Sabun 125 g,"5,90 TL",Güzellik Sabunu
Carrefour Zeytin Yağlı Sabun 125 g,"5,90 TL",Güzellik Sabunu
Carrefour Defne Sabun 125 g,"5,90 TL",Güzellik Sabunu
Carrefour Kükürt Sabun 125 g,"5,90 TL",Güzellik Sabunu
Carrefour Limon Kolonya Sprey 150 ml,"4,45 TL",Güzellik Sabunu
Carrefour Limon Kolonya 400 ml,"7,50 TL",Güzellik Sabunu
Carrefour Limon Kolonyası 1 l,"14,90 TL",Güzellik Sabunu
Carrefour Limon Kolonya  Kutulu 400 ml,"8,50 TL",Güzellik Sabunu
Carrefour gül Suyu 400 ml,"4,90 TL",Güzellik Sabunu
Carrefour Tuvalet Kağıdı Pudralı 32'li,"29,90 TL",Güzellik Sabunu
Carrefour Çift Katlı Tuvalet Kağıdı 32'li,"32,25 TL",Güzellik Sabunu
Carrefour 200'lü Peçete 26x24,"3,90 TL",Güzellik Sabunu
Carrefour Çift Katlı Kağıt Havlu 12'li,"19,75 TL",Güzellik Sabunu
BIC Pure 3 Pink Lady Tıraş Bıçağı 4'lü,"7,95 TL",Tek Kullanımlık Jilet
Derby Lady 2 Bıçaklı 5'li Poşet,"3,57 TL",Tek Kullanmlk Jilet
BIC Miss Soleil Tıraş Bıçağı 3+1,"13,17 TL",Tek Kullanımlık Jilet
BIC Twin Lady Tıraş Bıçağı Poşet 5'li,"4,74 TL",Tek Kullanmlk Jilet
Gillette Simply Venus 3 Tıraş Makinesi+3 Yedek Tıraş Bıçağı,"13,14 TL",Tek Kullanımlık Jilet
Gillette Venüs Breeze Kadın Tıraş Makinesi + 2 Adet Yedek Başlık,"29,94 TL",Tek Kullanmlk Jilet
Gillette Venus Breeze Kadın Tıraş Bıçağı Yedek 4'lü,"42,54 TL",Tek Kullanımlık Jilet
Gillette Venus Yedek Kadın Tıraş Bıçağı 4'lü,"34,14 TL",Tek Kullanmlk Jilet
Gillette Venus Pembe Kadın Tıraş Makinesi Yedekli,"25,14 TL",Kadın Tıraş Makinesi ve Bıçakları
Gillette Simply Venus 3 Kullan At Kadın Tıraş Bıçağı 4'lü,"14,37 TL",Kadn Traş Makinesi ve Bçaklar
Gillette Simply Venus Kullan At Kadın Tıraş Bıçağı 4'lü,"5,37 TL",Kadın Tıraş Makinesi ve Bıçakları
Gillette Venus Riviera Kullan At Kadın Tıraş Bıçağı 2'li,"15,54 TL",Kadn Traş Makinesi ve Bçaklar
Gillette Venus Embrace Snap Tıraş Makinesi Seyahat Boyu,"23,94 TL",Kadın Tıraş Makinesi ve Bıçakları
Gillette Venus Swirl Yedek Kadın Tıraş Bıçağı 2'li,"26,34 TL",Kadn Traş Makinesi ve Bçaklar
Gillette Venus Swirl Kadın Tıraş Makinesi Yedekli,"35,34 TL",Kadın Tıraş Makinesi ve Bıçakları
Braun Face SE80-M Yüz Yedek Başlık 4'lü,"99,90 TL",Kadn Traş Makinesi ve Bçaklar
Gillette Venus Satin Care Jel,"13,14 TL",Kadın Tıraş Makinesi ve Bıçakları
Sesu Duşta Tüy Dökücü Krem Hassas Cilt 150 ml,"17,34 TL",Kadn Traş Makinesi ve Bçaklar
Oral-B Pro-Expert Stages Çocuk Diş Macunu Winnie the Pooh 75  ml ( 0 - 2 Yaş),"13,93 TL",Kadın Tıraş Makinesi ve Bıçakları
Oral-B Pro-Expert Stages Çocuk Diş Macunu Frozen  Cars 75  ml (2 - 6 Yaş),"13,93 TL",Kadn Traş Makinesi ve Bçaklar
Colgate Barbie-Spıderman Çocuk Diş Macunu 75 ml,"9,95 TL",Kadın Tıraş Makinesi ve Bıçakları
Sensodyne Pro Mine Çocuklar İçin Diş Macunu Tatlı Naneli 50 ml,"22,50 TL",Kadn Traş Makinesi ve Bçaklar
Colgate Minions Çocuk Diş Macunu 50 ml,"11,95 TL",Kadın Tıraş Makinesi ve Bıçakları
Colgate Diş Macunu Hassasiyet Ekstra Güç 75 ml,"24,90 TL",Kadn Traş Makinesi ve Bçaklar
DentaSave Çinko Ağız Kokusu Diş Macunu 75 ml,"15,30 TL",Tam Koruma Diş Macunları
Colgate Total Profesyonel Beyazlık Diş Macunu 75 ml,"24,90 TL",Tam Koruma Diş Macunlar
DentaSave Klorhex Yoğun Bakım Diş Macunu 75 ml,"15,30 TL",Tam Koruma Diş Macunları
DentaSave Cistus Tam Koruma Diş Macunu 75 ml,"15,30 TL",Tam Koruma Diş Macunlar
DentaSave Klorhex günlük Bakım Diş Macunu,"15,30 TL",Tam Koruma Diş Macunları
Colgate Total Profesyonel Diş Eti Sağlığı Diş Macunu 75 ml,"24,90 TL",Tam Koruma Diş Macunlar
Colgate Total Profesyonel Aktif Etki Diş Macunu 75 ml,"24,90 TL",Tam Koruma Diş Macunları
Sensodyne Hızlı Rahatlama Beyazlatıcı 75 ml,"31,90 TL",Tam Koruma Diş Macunlar
Parodontax Ultra Clean 75 ml Diş Macunu,"28,90 TL",Tam Koruma Diş Macunları
İpana Komple Bakım Diş Macunu + Ağız Bakım Suyu Ferahlık ve Beyazlık 1 Alana 1 Bedava Paketi (65 ml + 65 ml),"19,90 TL",Tam Koruma Diş Macunlar
Ipana Pro-Expert Diş Macunu Hassas Beyazlık Nane 2'li (65Ml),"19,90 TL",Tam Koruma Diş Macunları
Ipana Pro-Expert 1 Alana 1 Bedava Paketi 100 ml,"32,90 TL",Tam Koruma Diş Macunlar
Ipana Pro-Expert Diş Macunu Hassas Beyazlık Nane 1 Alana 1 Bedava Paketi (100 ml + 100 ml),"32,90 TL",Tam Koruma Diş Macunları
Sensodyne Tam Koruma  Beyazlatıcı Etkili Diş Macunu 75 ml,"25,90 TL",Tam Koruma Diş Macunlar
Colgate Total gelişmiş Beyazlık Diş Macunu 75 ml,"11,95 TL",Tam Koruma Diş Macunları
Sensodyne Hızlı Rahatlama 75 ml,"31,90 TL",Tam Koruma Diş Macunlar
Sensodyne Onarım ve Koruma Diş Macunu 75 ml,"31,90 TL",Tam Koruma Diş Macunları
Colgate Total Gelişmiş Nane Temizliği Diş Macunu 75 ml,"11,95 TL",Tam Koruma Diş Macunlar
Sensodyne Tam Koruma Diş Macunu 75 ml,"25,90 TL",Tam Koruma Diş Macunları
Colgate Total  Nane Temizliği  Diş Macunu 150 ml,"21,45 TL",Tam Koruma Diş Macunlar
Sensodyne Çok Yönlü Koruma Diş Macunu 75 ml,"31,90 TL",Tam Koruma Diş Macunları
Parodontax Orjinal Diş Macunu 75Ml,"26,90 TL",Tam Koruma Diş Macunlar
Colgate Hassasiyete Pro-Çözüm Anında Rahatlama Diş Macunu 75 ml,"24,90 TL",Tam Koruma Diş Macunları
Colgate Hassasiyete Karşı Pro-Çözüm Beyazlatıcı Diş Macunu 75 ml,"24,90 TL",Tam Koruma Diş Macunlar
Colgate Hassasiyet Onarım ve Önleme 75 ml,"24,90 TL",Sigara İçenler için Diş Macunu
Pearls Drops Smokers Jel 75 ML,"18,95 TL",Sigara İçenler için Diş Macunu
PD Smokers Diş Macunu 75 ml,"18,95 TL",Sigara İçenler için Diş Macunu
İpana 3D White Luxe Diş Macunu Perfection Mükemmel Beyazlık 75 ml,"34,90 TL",Sigara İçenler için Diş Macunu
Colgate Üçlü Etki Diş Macunu 150 ml,"9,95 TL",Sigara İçenler için Diş Macunu
Paradontax Florürlü Diş Macunu 75  ml,"26,90 TL",Sigara İçenler için Diş Macunu
Sensodyne  100 ml,"17,95 TL",Sigara İçenler için Diş Macunu
Colgate Diş Macunu Üçlü Etki 2x150 ml,"22,90 TL",Sigara İçenler için Diş Macunu
Colgate Maksimum Anti-Çürük Diş Macunu 100 ml,"12,95 TL",Klasik Kalsiyum/Fluor Diş Macunları
Sensodyne Ferah Nefes Diş Macunu 100 ml,"17,95 TL",Klasik KalsiyumFluor Diş Macunlar
PD Hollywood Smile 50 ml,"38,95 TL",Klasik Kalsiyum/Fluor Diş Macunları
Sensodyne Onarım ve Koruma Extra Ferahlık Diş Macunu 75 ml,"31,90 TL",Klasik KalsiyumFluor Diş Macunlar
Colgate Optik Beyaz Kalıcı Beyazlık Diş Macunu 75 ml,"24,95 TL",Klasik Kalsiyum/Fluor Diş Macunları
Colgate Optik Beyaz Anında Beyazlık Diş Macunu 75 ml,"24,95 TL",Klasik KalsiyumFluor Diş Macunlar
Colgate Optik Beyaz Extra Güç Diş Macunu 75 ml,"24,95 TL",Klasik Kalsiyum/Fluor Diş Macunları
İpana 3D White Luxe Diş Macunu Perfection Mükemmel Beyazlık 75 ml,"20,94 TL",Klasik KalsiyumFluor Diş Macunlar
Signal Glossy Shine Diş Macunu 75ml,"29,90 TL",Klasik Kalsiyum/Fluor Diş Macunları
Sensodyne Derin Temizlik Diş Macunu 75 ml,"23,50 TL",Klasik KalsiyumFluor Diş Macunlar
Sensodyne Beyazlatıcı Nane 75ml,"32,90 TL",Ferah nefes Diş Macunları
Sensodyne Onarım  Koruma Beyazlatıcı Diş Macunu 75 ml,"32,90 TL",Ferah nefes Diş Macunlar
Colgate Optik Beyaz Diş Macunu 75 ml,"54,95 TL",Ferah nefes Diş Macunları
İpana 3D White Diş Macunu Çay Kahve İçenler İçin 75 ml,"17,90 TL",Ferah nefes Diş Macunlar
Colgate Optik Beyaz Parıldayan Beyazlık Diş Macunu 75 ml,"12,95 TL",Ferah nefes Diş Macunları
Signal Beyazlatıcı Sistem Diş Macunu 50 ml,"11,90 TL",Ferah nefes Diş Macunlar
PD Pro-White Diş Macunu 50 ml,"38,95 TL",Anti-tartar ve Beyazlatıcı Diş Macunları
