Name,Price,Category
Buğra Peynir Helvası 500 g,"9,95 TL",Özel Tatlılar
Buğra Peynir Helvası 250 g,"5,95 TL",Özel Tatllar
Güllaç kg,"36,00 TL",Özel Tatlılar
Special Güllaç Kg,"43,00 TL",Özel Tatllar
Höşmerim 200 g,"4,45 TL",Özel Tatlılar
Aşure 250 g,"9,25 TL",Özel Tatllar
Buğra Peynir Helvası 1000 g,"18,00 TL",Özel Tatlılar
Höşmerim 400 g,"7,40 TL",Özel Tatllar
Aşure 200 g,"9,25 TL",Özel Tatlılar
Kandil Simidi 10'lu,"6,99 TL",Özel Tatllar
Kalın Sade Galeta 125 g,"2,99 TL",Özel Tatlılar
Portakallı Halka,"4,99 TL",Özel Tatllar
Alaçatı Kurabiyecisi Üzümlü Kurabiye 250 g,"11,90 TL",Özel Tatlılar
Alaçatı Kurabiyecisi Tarçınlı Kurabiye 250 g,"11,90 TL",Özel Tatllar
Alaçatı Kurabiyecisi Damla Sakızlı Kurabiye 250 g,"11,90 TL",Özel Tatlılar
Alaçatı Kurabiyecisi Simit Tuzlu Kurabiye 250 g,"11,90 TL",Özel Tatllar
Tatlı-Tuzlu Kurabiye Paket 300 g,"6,90 TL",Özel Tatlılar
Acıbadem Kurabiye 200 g,"25,00 TL",Özel Tatllar
Alaçatı Kurabiyecisi Tuzlu Kurabiye 250 g,"11,90 TL",Tatlı / Tuzlu Kurabiyeler
Alaçatı Kurabiyecisi Tahinli Kurabiye 250 g,"11,90 TL",Tatl  Tuzlu Kurabiyeler
Unabella Konya Gevreği Çeşitleri 250 g,"9,90 TL",Tatlı / Tuzlu Kurabiyeler
Fındıkbadem 70 g,"4,50 TL",Tatl  Tuzlu Kurabiyeler
Tuzlu Kurabiye Çeşitleri kg,"32,90 TL",Tatlı / Tuzlu Kurabiyeler
Koko 200gr,"12,25 TL",Tatl  Tuzlu Kurabiyeler
Küçük Koko,"55,00 TL",Tatlı / Tuzlu Kurabiyeler
Special Tuzlu Kurabiye,"47,00 TL",Tatl  Tuzlu Kurabiyeler
Special Tatlı Kurabiye,"55,00 TL",Tatlı / Tuzlu Kurabiyeler
Tatlı Kurabiye kg,"32,90 TL",Tatl  Tuzlu Kurabiyeler
Beze kg,"50,50 TL",Tatlı / Tuzlu Kurabiyeler
Un Kurabiyesi Paket 280 g,"8,50 TL",Tatl  Tuzlu Kurabiyeler
Kepekli Kurabiye 300gr Paket,"6,25 TL",Tatlı / Tuzlu Kurabiyeler
Un Kurabiyesi,"30,00 TL",Tatl  Tuzlu Kurabiyeler
Carrefour Acıbademli Kurabiye 350 g,"42,80 TL",Tatlı / Tuzlu Kurabiyeler
Dolcia Muzlu Puding  4x110 g,"5,45 TL",Tatl  Tuzlu Kurabiyeler
Dolcia Çikolatalı Puding 4x110 g,"5,45 TL",Tatlı / Tuzlu Kurabiyeler
Tatlımmm Cikolatalı Puding 4x100 g,"7,95 TL",Tatl  Tuzlu Kurabiyeler
Eker Profiterol 100 g,"3,45 TL",Tatlı / Tuzlu Kurabiyeler
Profiterol kg,"18,90 TL",Tatl  Tuzlu Kurabiyeler
Danette Çikolatlı Puding 8x100 g,"12,50 TL",Tatlı / Tuzlu Kurabiyeler
Küp Tekli,"7,50 TL",Tatl  Tuzlu Kurabiyeler
