Job Title,Company Name,Company Location,Skills,Seniority Level,Industry,Employment Type,Job Functions
Inside Sales Representative,LUTZE Inc.,<function parseCompanyLocation at 0x7f29f8a87e18>,"Quotations,Inside Sales,Customer Service,Sales,Time Management,Communication,Industrial Automation,Problem Solving,Sales Strategy,Outside Sales",Associate,"DistributionDistribution,","Full-timeFull-time,",Sales Customer Service Distribution
Scenic Carpenter,Event Tech,<function parseCompanyLocation at 0x7f29f8a87e18>,"Metal Fabrication,Computer Numerical Control (CNC),Woodworking,Carpentry,Scenic Carpentry,Set Design,Event Production",N/A,"ManufacturingManufacturing,","Full-timeFull-time,",Design Art/Creative Manufacturing
Compliance Officer,N/A,<function parseCompanyLocation at 0x7f29f8a87e18>,"Regulatory Requirements,Microsoft Excel,Analytical Skills,Market Data,Data Analysis,Regulatory Compliance,Data Analytics,Policies & Procedures Development,Project Management,Interpersonal Skills,Master's Degree",Mid-Senior level,"Health Care ProviderHealth Care Provider,","Full-timeFull-time,",Health Care Provider
Medical Science Liaison,TMAC Direct,<function parseCompanyLocation at 0x7f29f8a87e18>,"Medical Affairs,Medicine,LinkedIn,Direct-hire,Research Doctorate",Mid-Senior level,"ManagementManagement,","Full-timeFull-time,",Research Science Management
PHP Developer,N/A,<function parseCompanyLocation at 0x7f29f8a87e18>,"SQL,PHP,PHP Frameworks,Data Mining,JavaScript,Software Development,Front-end Development,MySQL,Web Development,Technical Specs",Associate,"EngineeringEngineering,","Full-timeFull-time,",Information Technology Analyst Engineering
Technical Support Specialist,Innovative Technology Solutions,<function parseCompanyLocation at 0x7f29f8a87e18>,"Data Management,Network Monitoring Tools,Computer Repair,System Performance,Technology Solutions,Technical Support,Data Verification,Dashboard,Plex,Business Intelligence (BI),Bachelor's Degree",Mid-Senior level,"EngineeringEngineering,","Full-timeFull-time,",Information Technology Engineering
Cashless Payments Manager,Penn Interactive Ventures (PIV),<function parseCompanyLocation at 0x7f29f8a87e18>,"Negotiation,Written Communication,Analytical Skills,iGaming,Accounting,Finance,Service Providers,Regulatory Reporting,Sportsbook,Daily Operations,Bachelor's Degree",Mid-Senior level,"Project ManagementProject Management,","Full-timeFull-time,",Project Management
Project Manager - Entertainment,ARCO/Murray,<function parseCompanyLocation at 0x7f29f8a87e18>,"Design-Build,Proposal Preparation,Cost Reporting,Progress Billing,Microsoft Excel,Proposal Writing,Problem Solving,Microsoft Outlook,Project Management,Entertainment,Bachelor's Degree",Associate,"Project ManagementProject Management,","Full-timeFull-time,",Design Engineering Project Management
Customer Service (CRM) Assistant Needed,Raven,<function parseCompanyLocation at 0x7f29f8a87e18>,"Product Knowledge,In-store Marketing,Customer Service,Sales,Sales Process,Customer Relationship Management (CRM),Leadership,Hospitality,Training & Development,Sales Networking",Associate,"General BusinessGeneral Business,","Full-timeFull-time,",Customer Service General Business
Account Executive,Raven,<function parseCompanyLocation at 0x7f29f8a87e18>,"Written Communication,Inside Sales,Customer Service,Client Relations,Account Management,Sales,Communication,Customer Relationship Management (CRM),Creative Problem Solving,Interpersonal Skills",Associate,"ManagementManagement,","Full-timeFull-time,",Customer Service Sales Management
