Job Title,Company Name,Company Location,Skills,Seniority Level,Industry,Employment Type,Job Functions
Director of Regulatory Affairs,"ProEquities, Inc.","Birmingham, Alabama Area","Series 24,Management,FINRA,Regulatory Compliance,Hold Series 7,U.S. Securities and Exchange Commission (SEC),Regulatory Filings,Regulatory Examinations,Broker-Dealer,Regulatory Affairs,Bachelor's Degree",Associate,"LegalLegal,",Full-time,Finance Legal
Chief of Marketing and Strategic Communications,Civil Air Patrol,N/A,"Strategic Public Relations Planning,Public Affairs,Marketing Management,Corporate Communications,Marketing Strategy,Marketing,Social Media Marketing,Internal Communications,Public Relations,Strategic Communications",Executive,"Strategy/PlanningStrategy/Planning,",Full-time,Marketing Public Relations Strategy/Planning
Senior Vice President - Private Banker,The Richmond Group USA,"Huntsville, Alabama Area","Private Banking,Private Clients,Investment Banking,Bank Relationship Management",Mid-Senior level,"FinanceFinance,",Full-time,Business Development Sales Finance
VP of Sales - Contract,Summer Classics,"Birmingham, Alabama","Business,Sales Growth,Sales,Furniture,New Account Growth,Outdoor Industry,Commercial Sales,Marketing,Customer Experience,Interpersonal Skills",Mid-Senior level,"Customer ServiceCustomer Service,",Full-time,Business Development Sales Customer Service
Director of Retail Risk BBVA USA,BBVA,N/A,"Business,Credit Risk,Business Credit,Risk Management,Risk Analytics,Committees,Control Testing,Decision-Making,Regulatory Agencies,Mortgage Lending,Bachelor's Degree",Director,"FinanceFinance,",Full-time,Finance
Director of Regulatory Affairs,"ProEquities, Inc.","Birmingham, Alabama Area","Series 24,Management,FINRA,Regulatory Compliance,,,,,,,",N/A,,,N/A
Chief of Marketing and Strategic Communications,Civil Air Patrol,N/A,"Strategic Public Relations Planning,Public Affairs,Marketing Management,,,,,,,",,",,,,",,
Senior Vice President - Private Banker,The Richmond Group USA,"Huntsville, Alabama Area","Private Banking,Private Clients,Investment Banking,Bank Relationship Management",,",,,,",,
VP of Sales - Contract,Summer Classics,"Birmingham, Alabama","Business,Sales Growth,Sales,Furniture,,,,,,",,",,,,,",,
Director of Retail Risk BBVA USA,BBVA,N/A,"Business,Credit Risk,Business Credit,Risk Management,,,,,,,",N/A,,,N/A
Restaurant Manager,Cheddar's Scratch Kitchen,"Columbus, Georgia","Management,Cooking,Scratch,Recipe Development",N/A,,,N/A
Office Manager,Express Employment Professionals,"Birmingham, Alabama Area","Organization Skills,Business Transactions,Financial Data,Data Entry,,,,,,,",N/A,,,N/A
"Manager, Human Resources Business Partner",West Corporation,"West Point, Georgia","Business,Senior Professional in Human Resources (SPHR),Human Resources (HR),,,,,,,,",,",,",,
Independent Sales Representative,Safilo,"Birmingham, Alabama Area","Business,Negotiation,Interpersonal Communication,Organization Skills,,,,,,",,",,,",,
Registered Nurse (RN) Pre-OP / Recovery Room,Alaska Surgery Center,"Anchorage, Alaska",Associate's Degree,N/A,,,N/A
Director of Finance,Ravn Alaska,N/A,"Budgeting,Financial Statements,Analytical Skills,Accounting,,,,,,",,",,,,,",,
"Maintenance Planner /Scheduler (Kuparuk, AK)",The Bergaila Companies,"Fairbanks, Alaska","AutoCAD,Microsoft Excel,Maintenance Planning,Administrative Assistance,,,,,,",,",",,
Chief Financial Officer,N/A,"Anchorage, Alaska, United States",Collaborative Leadership,N/A,,,N/A
Chief Financial Officer,The Alaska Club,N/A,"Cost Reduction,Budgeting,Labor and Employment Law,Financial Advisory,,,,,,,",,",,,",,
Controller,Vitus Energy LLC,"Anchorage, Alaska Area","Budgeting,Accounts Payable,Cash Flow Forecasting,Account Reconciliation,,,,,,,",N/A,,,N/A
Regional CEO - Business Owner,WSI Internet Consulting,"Phoenix, Arizona","Ad Serving,Business,Revenue Streams,Entrepreneurship,,,,,,",,",,,,,",,
Big Data Cassandra Engineer,CBTS,"Phoenix, Arizona Area","LAMP,Python (Programming Language),Java,Node.js,,,,,",N/A,,,N/A
Regional Sale Director in IT Outsourcing,FPT Software,"Phoenix, Arizona Area","Customer Interaction,IT Outsourcing,Business Development,Product Specialists,,,,,,",,",,,,",,
Executive Partner/CIO Advisory,Gartner,"Phoenix, Arizona Area","Technology Research,Digital Business,Written Communication,Analytical Skills,,,,,,",N/A,,,N/A
Division Manager & VP Sales,Cookson Door Sales of Arizona,N/A,"Sales Trainings,Business,Budgeting,Sales,,,,,,",,",",,
BigData Kafka Engineer,Mindtree,"Scottsdale, Arizona","Wireframing,Technical Design,Spring Boot,Agile Environment,,,,,,,",,",,,,,",,
"Senior Director, M&A Integration",Walmart,N/A,"Mergers & Acquisitions (M&A),Due Diligence,Strategic Planning,Project Management Office (PMO),,",,",,,",,
Director of Engineering Program Management (Explosives Manufacturer),who... a staffing company,"Camden, Arkansas","Engineering Management,Chemical Engineering,Engineering,Manufacturing Engineering,,,,,,,",N/A,,,N/A
Senior Software Engineer,Sam's Club,N/A,"Cloud Computing,Python (Programming Language),Java,Oracle Database,,,,,,",,",,,",,
Operations Manager,Quala,"West Memphis, Arkansas","Tanks,Tank Cleaning,English,Written Communication,,,,,,",N/A,,,N/A
