Job Title,Company Name,Company Location,Skills,Seniority Level,Industry,Employment Type,Job Functions
Community Banking Market Executive,N/A,"Birmingham, Alabama Area"," Banking,Communication,Banking,Computer Literacy",,",,,,",,
Advertising Sales Account Executive,N/A,"Mobile, Alabama"," Communication,Banking,Computer Literacy",N/A,,,N/A
Identity Access Management Engineer,"Advanced Business Engineering, Inc","Columbus, Georgia Area","ADFS,Cyber-security,Technical Documentation",,",,,,,",,
Solutions Architect,Perficient,"Little Rock, AR, US",Analytical Skills,Mid-Senior level,"Marketing & Advertising,Information Technology & Services,Computer Software,,",,
Senior Actuarial Analyst - 2 month Contract to Hire,Modis,"Oakland, California","Analytical Skills,Accounting",,",,",,
Senior Actuarial Analyst - 2 month Contract to Hire,Modis,"Oakland, California","Analytical Skills,Accounting",,",,",,
Lead Machine Learning Engineer - $70M raised this week,Intelletec,San Francisco Bay Area,"Analytical Skills,Data Analysis,Artificial Intelligence,Pattern Recognition",,",,,,,",,
Back End Developer,SpringPoint Technologies,"Fayetteville, Arkansas Area","Angular,Java,Spring Boot,Back-End Web Development",,",,",,
Back End Developer,SpringPoint Technologies,"Fayetteville, Arkansas Area","Angular,Java,Spring Boot,Development",,",,",,
Registered Nurse (RN) Pre-OP / Recovery Room,Alaska Surgery Center,"Anchorage, Alaska",Associate's Degree,N/A,,,N/A
"Maintenance Planner /Scheduler (Kuparuk, AK)",The Bergaila Companies,"Fairbanks, Alaska","AutoCAD,Microsoft Excel,Planning,Assistance",,",",,
Vice President of Flight Operations,Northern Aviation Services,"Anchorage, Alaska Area","Aviation Regulations,System Safety,Regulatory Compliance,Operational Control",,",",,
Special Agent: Military/Law Enforcement,Federal Bureau of Investigation (FBI),N/A,Bachelor's Degree,,",,,,,",,
Systems/Product Engineer,Sanmina,"Huntsville, Alabama Area",Bachelor's Degree,N/A,,,N/A
Controller,Vitus Energy LLC,"Anchorage, Alaska Area","Budgeting,Accounts Payable,Cash Flow Forecasting,Account Reconciliation",N/A,,,N/A
Construction Project Manager,HPM,N/A,"Budgeting,Construction,Pay Applications,Suretrack",N/A,,,N/A
