Job Title,Company Name,Company Location,Skills,Seniority Level,Industry,Employment Type,Job Functions
Director of Customer Success,Eversound,N/A,"Account Management,Business-to-Business (B2B),Sales,Customer Relationship Management (CRM),,,,",N/A,,,N/A
Senior Full-stack Developer,Sogeti,"Dover, New Hampshire","American Welding Society (AWS),Java,Cloud Development,Google Cloud Platform (GCP),,,,,,",,",",,
Principal Software Engineer (Back-end),GSN Games,N/A,"American Welding Society (AWS),Ruby,SQL,Back-End Web Development,,,,,,,",,",,,,",,
Director IT - Global Commercial & Medical Affairs,Kiniksa Pharmaceuticals,N/A,"Analytical Skills,Amazon QuickSight,Azure Data Lake,Campaign Management,,,,,,",N/A,,,N/A
"Manager, Clinical Supply Chain",Karyopharm Therapeutics Inc.,"Newton, Massachusetts","Analytical Skills,Enterprise Software,Life Sciences,Clinical Supplies,,,,,,",,",,,",,
Test Engineer,ATG (Auction Technology Group),"London, England, United Kingdom","API Testing,SQL,Model-View-Controller (MVC),.NET Core,,,,,,",,",",,
Store Planner,Adecco,"Framingham, Massachusetts","AutoCAD,Merchandise Planning,Store Management,Problem Solving,,,,,,",,",",,
Senior Account Manager,Transmission,"London, United Kingdom",Bachelor's Degree,,",",,
Data Scientist II,Keurig Dr Pepper Inc.,N/A,Bachelor's Degree,N/A,,,N/A
Architectural Territory Sales Manager,"IMETCO - Innovative Metals Company, Inc.",Greater Boston Area,Bachelor's Degree,,",,,",,
Account Manager,Six Degrees Group,"London, United Kingdom","Board Level,Business,Financial Services,Digital Transformation,,,,,,",N/A,,,N/A
IT Infrastructure Project Manager,"Longford & Company, Inc.","Cambridge, Massachusetts","Budgeting,Vendor Management,Virtualization,IT Infrastructure Operations,,,,,,",,",,,,",,
Management Consultant - Data Science,Capgemini Invent,"London, United Kingdom","Business Analytics,Python (Programming Language),Data Visualization,Feature Selection,,,,,,,",,",,",,
Customer Acquisition Director,American Family Insurance,N/A,Business Development Sales,N/A,"Financial Services,Insurance,Business Development,Sales",Full-time,Business Development Sales
Director Media Public Relations,W2O Group,"London, United Kingdom","Business Operations,Biotechnology,Client Services,Organization Skills,,,,,,",,",,,",,
"Lead Analyst, Systems Maintenance",National Grid,N/A,"Business Process,Master Data,Monthly Close Process,Accounting System,,,,,",N/A,,,N/A
"Account Assistant, Client Services",Racepoint Global,N/A,"Business,Billing Process,Travel,Organization Skills,,,,,,,",N/A,,,N/A
Finance Analyst - Fashion Retail,Consumer Additions,"London, United Kingdom","Business,Chartered Institute of Management Accountants (CIMA),Association of Chartered Certified Accountants (ACCA),,,,,,,",,",,,,,",,
Business Development Manager,Carboline Company,"Boston, Massachusetts","Business,Coatings,Fireproofing,Business Development,,,,,,",N/A,,,N/A
Account Manager,"Paper Transport, Inc.",N/A,"Business,Conflict,Management,Operations Management,,,,,,",,",,,,",,
Midweight Medical Copywriter,Syneos Health Communications (Previously inVentiv Health Communications),"London, United Kingdom","Business,Copywriting,Health Communication,Life Sciences,,,,,,",N/A,,,N/A
